loading annotations into memory...
Done (t=0.13s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.334s (3.334s)] | Data [1.893s (1.893s)] | Focal Loss [4.9425 (4.9425)] | Dice Loss [0.3331 (0.3331)] | IoU Loss [0.0900 (0.0900)] | Total Loss [99.2729 (99.2729)]
Epoch: [1][2/220] | Time [0.460s (1.897s)] | Data [0.133s (1.013s)] | Focal Loss [4.5368 (4.7397)] | Dice Loss [0.4046 (0.3689)] | IoU Loss [0.0894 (0.0897)] | Total Loss [91.2305 (95.2517)]
Epoch: [1][3/220] | Time [0.381s (1.392s)] | Data [0.084s (0.703s)] | Focal Loss [0.9388 (3.4727)] | Dice Loss [0.3986 (0.3788)] | IoU Loss [0.0854 (0.0883)] | Total Loss [19.2604 (69.9213)]
Epoch: [1][4/220] | Time [0.534s (1.177s)] | Data [0.114s (0.556s)] | Focal Loss [3.9062 (3.5811)] | Dice Loss [0.3335 (0.3675)] | IoU Loss [0.0892 (0.0885)] | Total Loss [78.5465 (72.0776)]
Epoch: [1][5/220] | Time [0.393s (1.020s)] | Data [0.114s (0.468s)] | Focal Loss [1.9290 (3.2507)] | Dice Loss [0.3754 (0.3690)] | IoU Loss [0.0933 (0.0895)] | Total Loss [39.0488 (65.4718)]
Epoch: [1][6/220] | Time [0.396s (0.916s)] | Data [0.075s (0.402s)] | Focal Loss [1.7789 (3.0054)] | Dice Loss [0.1957 (0.3402)] | IoU Loss [0.0530 (0.0834)] | Total Loss [35.8268 (60.5310)]
Epoch: [1][7/220] | Time [0.389s (0.841s)] | Data [0.085s (0.357s)] | Focal Loss [3.6525 (3.0978)] | Dice Loss [0.4252 (0.3523)] | IoU Loss [0.0876 (0.0840)] | Total Loss [73.5631 (62.3927)]
Epoch: [1][8/220] | Time [0.495s (0.798s)] | Data [0.114s (0.327s)] | Focal Loss [3.6147 (3.1624)] | Dice Loss [0.3401 (0.3508)] | IoU Loss [0.0978 (0.0857)] | Total Loss [72.7323 (63.6852)]
Epoch: [1][9/220] | Time [0.449s (0.759s)] | Data [0.123s (0.304s)] | Focal Loss [1.4490 (2.9721)] | Dice Loss [0.1514 (0.3286)] | IoU Loss [0.0342 (0.0800)] | Total Loss [29.1660 (59.8497)]
Epoch: [1][10/220] | Time [0.369s (0.720s)] | Data [0.084s (0.282s)] | Focal Loss [0.3001 (2.7049)] | Dice Loss [0.1653 (0.3123)] | IoU Loss [0.0174 (0.0737)] | Total Loss [6.1844 (54.4832)]
Epoch: [1][11/220] | Time [0.429s (0.694s)] | Data [0.090s (0.265s)] | Focal Loss [2.7465 (2.7086)] | Dice Loss [0.3419 (0.3150)] | IoU Loss [0.1035 (0.0764)] | Total Loss [55.3751 (54.5643)]
Epoch: [1][12/220] | Time [0.359s (0.666s)] | Data [0.091s (0.250s)] | Focal Loss [1.5560 (2.6126)] | Dice Loss [0.4644 (0.3274)] | IoU Loss [0.0926 (0.0778)] | Total Loss [31.6780 (52.6571)]
Epoch: [1][13/220] | Time [0.350s (0.641s)] | Data [0.066s (0.236s)] | Focal Loss [0.2402 (2.4301)] | Dice Loss [0.1646 (0.3149)] | IoU Loss [0.0152 (0.0730)] | Total Loss [4.9846 (48.9900)]
Epoch: [1][14/220] | Time [0.420s (0.626s)] | Data [0.088s (0.225s)] | Focal Loss [2.0542 (2.4033)] | Dice Loss [0.3358 (0.3164)] | IoU Loss [0.0173 (0.0690)] | Total Loss [41.4366 (48.4504)]
Epoch: [1][15/220] | Time [0.447s (0.614s)] | Data [0.110s (0.218s)] | Focal Loss [0.2601 (2.2604)] | Dice Loss [0.1431 (0.3049)] | IoU Loss [0.0059 (0.0648)] | Total Loss [5.3505 (45.5771)]
Epoch: [1][16/220] | Time [0.375s (0.599s)] | Data [0.089s (0.210s)] | Focal Loss [0.2942 (2.1375)] | Dice Loss [0.2757 (0.3030)] | IoU Loss [0.0240 (0.0622)] | Total Loss [6.1839 (43.1150)]
Epoch: [1][17/220] | Time [0.454s (0.590s)] | Data [0.099s (0.203s)] | Focal Loss [1.5019 (2.1001)] | Dice Loss [0.3024 (0.3030)] | IoU Loss [0.0684 (0.0626)] | Total Loss [30.4090 (42.3676)]
Epoch: [1][18/220] | Time [0.433s (0.582s)] | Data [0.113s (0.198s)] | Focal Loss [1.0025 (2.0391)] | Dice Loss [0.2540 (0.3003)] | IoU Loss [0.0748 (0.0633)] | Total Loss [20.3794 (41.1460)]
Epoch: [1][19/220] | Time [0.442s (0.574s)] | Data [0.100s (0.193s)] | Focal Loss [1.1778 (1.9938)] | Dice Loss [0.3002 (0.3003)] | IoU Loss [0.0401 (0.0621)] | Total Loss [23.8959 (40.2381)]
Epoch: [1][20/220] | Time [0.381s (0.565s)] | Data [0.093s (0.188s)] | Focal Loss [0.9751 (1.9429)] | Dice Loss [0.3992 (0.3052)] | IoU Loss [0.1085 (0.0644)] | Total Loss [20.0105 (39.2268)]
Epoch: [1][21/220] | Time [0.460s (0.560s)] | Data [0.097s (0.184s)] | Focal Loss [0.3314 (1.8661)] | Dice Loss [0.1236 (0.2966)] | IoU Loss [0.0021 (0.0614)] | Total Loss [6.7539 (37.6804)]
Epoch: [1][22/220] | Time [0.654s (0.564s)] | Data [0.178s (0.183s)] | Focal Loss [1.5332 (1.8510)] | Dice Loss [0.2987 (0.2967)] | IoU Loss [0.0627 (0.0615)] | Total Loss [31.0252 (37.3779)]
