loading annotations into memory...
Done (t=0.41s)
creating index...
index created!
loading annotations into memory...
Done (t=0.15s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.287s (3.287s)] | Data [2.272s (2.272s)] | Focal Loss [4.6171 (4.6171)] | Dice Loss [0.4501 (0.4501)] | IoU Loss [0.1380 (0.1380)] | Total Loss [92.9305 (92.9305)]
Epoch: [1][2/220] | Time [0.492s (1.889s)] | Data [0.171s (1.222s)] | Focal Loss [3.3283 (3.9727)] | Dice Loss [0.5101 (0.4801)] | IoU Loss [0.1342 (0.1361)] | Total Loss [67.2102 (80.0703)]
Epoch: [1][3/220] | Time [0.511s (1.430s)] | Data [0.164s (0.869s)] | Focal Loss [1.6577 (3.2010)] | Dice Loss [0.5823 (0.5142)] | IoU Loss [0.0739 (0.1154)] | Total Loss [33.8104 (64.6504)]
Epoch: [1][4/220] | Time [0.494s (1.196s)] | Data [0.139s (0.687s)] | Focal Loss [4.4955 (3.5247)] | Dice Loss [0.5141 (0.5142)] | IoU Loss [0.1366 (0.1207)] | Total Loss [90.5610 (71.1280)]
Epoch: [1][5/220] | Time [0.561s (1.069s)] | Data [0.260s (0.601s)] | Focal Loss [1.3942 (3.0986)] | Dice Loss [0.5228 (0.5159)] | IoU Loss [0.1040 (0.1174)] | Total Loss [28.5105 (62.6045)]
Epoch: [1][6/220] | Time [0.420s (0.961s)] | Data [0.113s (0.520s)] | Focal Loss [1.9278 (2.9034)] | Dice Loss [0.4208 (0.5000)] | IoU Loss [0.0833 (0.1117)] | Total Loss [39.0611 (58.6806)]
Epoch: [1][7/220] | Time [0.465s (0.890s)] | Data [0.155s (0.468s)] | Focal Loss [1.8707 (2.7559)] | Dice Loss [0.4079 (0.4869)] | IoU Loss [0.0689 (0.1056)] | Total Loss [37.8900 (55.7105)]
Epoch: [1][8/220] | Time [0.511s (0.842s)] | Data [0.168s (0.430s)] | Focal Loss [3.4113 (2.8378)] | Dice Loss [0.4204 (0.4786)] | IoU Loss [0.1252 (0.1080)] | Total Loss [68.7709 (57.3431)]
Epoch: [1][9/220] | Time [0.553s (0.810s)] | Data [0.236s (0.409s)] | Focal Loss [4.2295 (2.9925)] | Dice Loss [0.7071 (0.5040)] | IoU Loss [0.1808 (0.1161)] | Total Loss [85.4777 (60.4691)]
Epoch: [1][10/220] | Time [0.452s (0.774s)] | Data [0.150s (0.383s)] | Focal Loss [1.4427 (2.8375)] | Dice Loss [0.4440 (0.4980)] | IoU Loss [0.1175 (0.1162)] | Total Loss [29.4146 (57.3637)]
Epoch: [1][11/220] | Time [0.446s (0.745s)] | Data [0.127s (0.360s)] | Focal Loss [3.0722 (2.8588)] | Dice Loss [0.3949 (0.4886)] | IoU Loss [0.1236 (0.1169)] | Total Loss [61.9631 (57.7818)]
Epoch: [1][12/220] | Time [0.455s (0.720s)] | Data [0.170s (0.344s)] | Focal Loss [1.2487 (2.7246)] | Dice Loss [0.4233 (0.4831)] | IoU Loss [0.1048 (0.1159)] | Total Loss [25.5028 (55.0919)]
Epoch: [1][13/220] | Time [0.391s (0.695s)] | Data [0.097s (0.325s)] | Focal Loss [1.0391 (2.5950)] | Dice Loss [0.3221 (0.4708)] | IoU Loss [0.0646 (0.1120)] | Total Loss [21.1692 (52.4825)]
Epoch: [1][14/220] | Time [0.439s (0.677s)] | Data [0.125s (0.311s)] | Focal Loss [2.1653 (2.5643)] | Dice Loss [0.6129 (0.4809)] | IoU Loss [0.1366 (0.1137)] | Total Loss [44.0552 (51.8805)]
Epoch: [1][15/220] | Time [0.519s (0.666s)] | Data [0.197s (0.303s)] | Focal Loss [4.0266 (2.6618)] | Dice Loss [0.5291 (0.4841)] | IoU Loss [0.1054 (0.1132)] | Total Loss [81.1675 (53.8330)]
Epoch: [1][16/220] | Time [0.483s (0.655s)] | Data [0.182s (0.295s)] | Focal Loss [1.7301 (2.6036)] | Dice Loss [0.6465 (0.4943)] | IoU Loss [0.1413 (0.1149)] | Total Loss [35.3890 (52.6802)]
Epoch: [1][17/220] | Time [0.474s (0.644s)] | Data [0.148s (0.287s)] | Focal Loss [3.1648 (2.6366)] | Dice Loss [0.5405 (0.4970)] | IoU Loss [0.1053 (0.1144)] | Total Loss [63.9426 (53.3427)]
Epoch: [1][18/220] | Time [0.541s (0.638s)] | Data [0.223s (0.283s)] | Focal Loss [1.3308 (2.5640)] | Dice Loss [0.3778 (0.4904)] | IoU Loss [0.1186 (0.1146)] | Total Loss [27.1122 (51.8855)]
Epoch: [1][19/220] | Time [0.506s (0.632s)] | Data [0.177s (0.278s)] | Focal Loss [2.1899 (2.5443)] | Dice Loss [0.5423 (0.4931)] | IoU Loss [0.1169 (0.1147)] | Total Loss [44.4562 (51.4945)]
Epoch: [1][20/220] | Time [0.474s (0.624s)] | Data [0.184s (0.273s)] | Focal Loss [1.4032 (2.4873)] | Dice Loss [0.6022 (0.4986)] | IoU Loss [0.1228 (0.1151)] | Total Loss [28.7889 (50.3592)]
Epoch: [1][21/220] | Time [0.495s (0.618s)] | Data [0.164s (0.268s)] | Focal Loss [3.5605 (2.5384)] | Dice Loss [0.6337 (0.5050)] | IoU Loss [0.1489 (0.1167)] | Total Loss [71.9924 (51.3893)]
