loading annotations into memory...
Done (t=0.49s)
creating index...
index created!
loading annotations into memory...
Done (t=0.20s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.742s (3.742s)] | Data [2.693s (2.693s)] | Focal Loss [6.5879 (6.5879)] | Dice Loss [0.8235 (0.8235)] | IoU Loss [0.2693 (0.2693)] | Total Loss [132.8514 (132.8514)]
Epoch: [1][2/220] | Time [0.491s (2.116s)] | Data [0.174s (1.434s)] | Focal Loss [3.5296 (5.0588)] | Dice Loss [0.8332 (0.8283)] | IoU Loss [0.2696 (0.2694)] | Total Loss [71.6953 (102.2733)]
Epoch: [1][3/220] | Time [0.540s (1.591s)] | Data [0.179s (1.015s)] | Focal Loss [2.4388 (4.1855)] | Dice Loss [0.6656 (0.7741)] | IoU Loss [0.2705 (0.2698)] | Total Loss [49.7124 (84.7530)]
Epoch: [1][4/220] | Time [0.508s (1.320s)] | Data [0.145s (0.798s)] | Focal Loss [4.5242 (4.2701)] | Dice Loss [0.8660 (0.7971)] | IoU Loss [0.2561 (0.2664)] | Total Loss [91.6052 (86.4661)]
Epoch: [1][5/220] | Time [0.575s (1.171s)] | Data [0.272s (0.693s)] | Focal Loss [3.9308 (4.2023)] | Dice Loss [0.9527 (0.8282)] | IoU Loss [0.3359 (0.2803)] | Total Loss [79.9056 (85.1540)]
Epoch: [1][6/220] | Time [0.442s (1.050s)] | Data [0.120s (0.597s)] | Focal Loss [4.5608 (4.2620)] | Dice Loss [0.8377 (0.8298)] | IoU Loss [0.2971 (0.2831)] | Total Loss [92.3499 (86.3533)]
Epoch: [1][7/220] | Time [0.483s (0.969s)] | Data [0.166s (0.536s)] | Focal Loss [2.7790 (4.0502)] | Dice Loss [0.5579 (0.7909)] | IoU Loss [0.2633 (0.2803)] | Total Loss [56.4010 (82.0744)]
Epoch: [1][8/220] | Time [0.532s (0.914s)] | Data [0.183s (0.492s)] | Focal Loss [4.8775 (4.1536)] | Dice Loss [0.6795 (0.7770)] | IoU Loss [0.2222 (0.2730)] | Total Loss [98.4513 (84.1215)]
Epoch: [1][9/220] | Time [0.569s (0.876s)] | Data [0.254s (0.465s)] | Focal Loss [2.9685 (4.0219)] | Dice Loss [0.6583 (0.7638)] | IoU Loss [0.2291 (0.2681)] | Total Loss [60.2575 (81.4700)]
Epoch: [1][10/220] | Time [0.467s (0.835s)] | Data [0.166s (0.435s)] | Focal Loss [3.4410 (3.9638)] | Dice Loss [1.0477 (0.7922)] | IoU Loss [0.3420 (0.2755)] | Total Loss [70.2092 (80.3439)]
Epoch: [1][11/220] | Time [0.485s (0.803s)] | Data [0.153s (0.410s)] | Focal Loss [2.2306 (3.8062)] | Dice Loss [0.5521 (0.7704)] | IoU Loss [0.2057 (0.2692)] | Total Loss [45.3698 (77.1644)]
Epoch: [1][12/220] | Time [0.461s (0.775s)] | Data [0.164s (0.389s)] | Focal Loss [2.1645 (3.6694)] | Dice Loss [0.7601 (0.7695)] | IoU Loss [0.2400 (0.2667)] | Total Loss [44.2906 (74.4249)]
