loading annotations into memory...
Done (t=0.44s)
creating index...
index created!
loading annotations into memory...
Done (t=0.21s)
creating index...
index created!
Epoch: [1][1/220] | Time [5.287s (5.287s)] | Data [2.171s (2.171s)] | Focal Loss [3.8951 (3.8951)] | Dice Loss [0.4999 (0.4999)] | IoU Loss [0.1315 (0.1315)] | Total Loss [78.5336 (78.5336)]
Epoch: [1][2/220] | Time [0.490s (2.888s)] | Data [0.170s (1.171s)] | Focal Loss [1.5667 (2.7309)] | Dice Loss [0.3354 (0.4176)] | IoU Loss [0.0847 (0.1081)] | Total Loss [31.7544 (55.1440)]
Epoch: [1][3/220] | Time [0.500s (2.092s)] | Data [0.160s (0.834s)] | Focal Loss [1.8164 (2.4261)] | Dice Loss [0.6972 (0.5108)] | IoU Loss [0.1811 (0.1324)] | Total Loss [37.2053 (49.1644)]
Epoch: [1][4/220] | Time [0.484s (1.690s)] | Data [0.135s (0.659s)] | Focal Loss [7.1313 (3.6024)] | Dice Loss [0.7860 (0.5796)] | IoU Loss [0.2249 (0.1555)] | Total Loss [143.6364 (72.7824)]
Epoch: [1][5/220] | Time [0.549s (1.462s)] | Data [0.250s (0.577s)] | Focal Loss [0.9708 (3.0761)] | Dice Loss [0.4603 (0.5558)] | IoU Loss [0.0870 (0.1418)] | Total Loss [19.9632 (62.2186)]
Epoch: [1][6/220] | Time [0.415s (1.287s)] | Data [0.111s (0.500s)] | Focal Loss [2.2613 (2.9403)] | Dice Loss [0.3566 (0.5226)] | IoU Loss [0.1097 (0.1365)] | Total Loss [45.6916 (59.4641)]
Epoch: [1][7/220] | Time [0.461s (1.169s)] | Data [0.154s (0.450s)] | Focal Loss [1.4162 (2.7225)] | Dice Loss [0.3881 (0.5034)] | IoU Loss [0.0960 (0.1307)] | Total Loss [28.8089 (55.0848)]
Epoch: [1][8/220] | Time [0.496s (1.085s)] | Data [0.168s (0.415s)] | Focal Loss [4.3986 (2.9320)] | Dice Loss [0.6275 (0.5189)] | IoU Loss [0.1675 (0.1353)] | Total Loss [88.7666 (59.2950)]
Epoch: [1][9/220] | Time [0.540s (1.025s)] | Data [0.235s (0.395s)] | Focal Loss [1.8842 (2.8156)] | Dice Loss [0.4107 (0.5069)] | IoU Loss [0.1184 (0.1334)] | Total Loss [38.2140 (56.9527)]
Epoch: [1][10/220] | Time [0.449s (0.967s)] | Data [0.149s (0.370s)] | Focal Loss [0.8927 (2.6233)] | Dice Loss [0.3941 (0.4956)] | IoU Loss [0.0971 (0.1298)] | Total Loss [18.3457 (53.0920)]
Epoch: [1][11/220] | Time [0.448s (0.920s)] | Data [0.130s (0.348s)] | Focal Loss [2.7557 (2.6354)] | Dice Loss [0.4983 (0.4958)] | IoU Loss [0.1352 (0.1303)] | Total Loss [55.7485 (53.3335)]
Epoch: [1][12/220] | Time [0.452s (0.881s)] | Data [0.165s (0.333s)] | Focal Loss [0.6974 (2.4739)] | Dice Loss [0.4861 (0.4950)] | IoU Loss [0.0574 (0.1242)] | Total Loss [14.4915 (50.0966)]
Epoch: [1][13/220] | Time [0.386s (0.843s)] | Data [0.091s (0.315s)] | Focal Loss [1.1300 (2.3705)] | Dice Loss [0.2909 (0.4793)] | IoU Loss [0.0737 (0.1203)] | Total Loss [22.9638 (48.0095)]
Epoch: [1][14/220] | Time [0.444s (0.814s)] | Data [0.129s (0.301s)] | Focal Loss [2.4305 (2.3748)] | Dice Loss [0.6118 (0.4888)] | IoU Loss [0.1356 (0.1214)] | Total Loss [49.3569 (48.1057)]
Epoch: [1][15/220] | Time [0.498s (0.793s)] | Data [0.184s (0.293s)] | Focal Loss [1.6806 (2.3285)] | Dice Loss [0.4811 (0.4883)] | IoU Loss [0.0958 (0.1197)] | Total Loss [34.1880 (47.1779)]
Epoch: [1][16/220] | Time [0.470s (0.773s)] | Data [0.175s (0.286s)] | Focal Loss [1.1758 (2.2565)] | Dice Loss [0.7133 (0.5023)] | IoU Loss [0.1341 (0.1206)] | Total Loss [24.3632 (45.7520)]
Epoch: [1][17/220] | Time [0.477s (0.756s)] | Data [0.148s (0.278s)] | Focal Loss [2.2102 (2.2537)] | Dice Loss [0.4390 (0.4986)] | IoU Loss [0.0948 (0.1191)] | Total Loss [44.7383 (45.6923)]
Epoch: [1][18/220] | Time [0.519s (0.742s)] | Data [0.214s (0.274s)] | Focal Loss [1.5383 (2.2140)] | Dice Loss [0.3167 (0.4885)] | IoU Loss [0.1250 (0.1194)] | Total Loss [31.2072 (44.8876)]
Epoch: [1][19/220] | Time [0.487s (0.729s)] | Data [0.172s (0.269s)] | Focal Loss [1.3981 (2.1710)] | Dice Loss [0.4763 (0.4879)] | IoU Loss [0.0974 (0.1183)] | Total Loss [28.5352 (44.0270)]
Epoch: [1][20/220] | Time [0.452s (0.715s)] | Data [0.165s (0.264s)] | Focal Loss [1.0049 (2.1127)] | Dice Loss [0.5609 (0.4915)] | IoU Loss [0.1231 (0.1185)] | Total Loss [20.7820 (42.8647)]
Epoch: [1][21/220] | Time [0.481s (0.704s)] | Data [0.152s (0.258s)] | Focal Loss [2.3462 (2.1239)] | Dice Loss [0.5149 (0.4926)] | IoU Loss [0.1235 (0.1187)] | Total Loss [47.5631 (43.0884)]
Epoch: [1][22/220] | Time [0.663s (0.702s)] | Data [0.286s (0.260s)] | Focal Loss [4.9065 (2.2503)] | Dice Loss [0.5867 (0.4969)] | IoU Loss [0.1594 (0.1206)] | Total Loss [98.8762 (45.6242)]
Epoch: [1][23/220] | Time [0.666s (0.701s)] | Data [0.341s (0.263s)] | Focal Loss [1.7097 (2.2268)] | Dice Loss [0.5291 (0.4983)] | IoU Loss [0.1041 (0.1199)] | Total Loss [34.8275 (45.1548)]
Epoch: [1][24/220] | Time [0.481s (0.691s)] | Data [0.183s (0.260s)] | Focal Loss [0.7492 (2.1653)] | Dice Loss [0.5320 (0.4997)] | IoU Loss [0.0719 (0.1179)] | Total Loss [15.5885 (43.9229)]
Epoch: [1][25/220] | Time [0.514s (0.684s)] | Data [0.168s (0.256s)] | Focal Loss [2.2717 (2.1695)] | Dice Loss [0.5810 (0.5030)] | IoU Loss [0.1358 (0.1186)] | Total Loss [46.1513 (44.0120)]
Epoch: [1][26/220] | Time [0.575s (0.680s)] | Data [0.260s (0.256s)] | Focal Loss [1.5037 (2.1439)] | Dice Loss [0.5883 (0.5062)] | IoU Loss [0.1232 (0.1188)] | Total Loss [30.7857 (43.5033)]
Epoch: [1][27/220] | Time [0.541s (0.675s)] | Data [0.202s (0.254s)] | Focal Loss [1.7184 (2.1282)] | Dice Loss [0.4976 (0.5059)] | IoU Loss [0.1051 (0.1183)] | Total Loss [34.9712 (43.1873)]
Epoch: [1][28/220] | Time [0.531s (0.670s)] | Data [0.240s (0.254s)] | Focal Loss [0.6607 (2.0757)] | Dice Loss [0.3705 (0.5011)] | IoU Loss [0.0583 (0.1161)] | Total Loss [13.6435 (42.1322)]
Epoch: [1][29/220] | Time [0.453s (0.662s)] | Data [0.139s (0.250s)] | Focal Loss [1.2228 (2.0463)] | Dice Loss [0.4964 (0.5009)] | IoU Loss [0.1108 (0.1159)] | Total Loss [25.0640 (41.5436)]
Epoch: [1][30/220] | Time [0.484s (0.656s)] | Data [0.169s (0.247s)] | Focal Loss [1.1086 (2.0151)] | Dice Loss [0.4350 (0.4987)] | IoU Loss [0.0559 (0.1139)] | Total Loss [22.6630 (40.9143)]
Epoch: [1][31/220] | Time [0.558s (0.653s)] | Data [0.227s (0.247s)] | Focal Loss [1.2198 (1.9894)] | Dice Loss [0.5069 (0.4990)] | IoU Loss [0.0999 (0.1135)] | Total Loss [25.0022 (40.4010)]
Epoch: [1][32/220] | Time [0.542s (0.650s)] | Data [0.223s (0.246s)] | Focal Loss [1.2652 (1.9668)] | Dice Loss [0.4757 (0.4983)] | IoU Loss [0.1064 (0.1133)] | Total Loss [25.8859 (39.9474)]
Epoch: [1][33/220] | Time [0.568s (0.647s)] | Data [0.231s (0.245s)] | Focal Loss [1.7372 (1.9598)] | Dice Loss [0.4480 (0.4967)] | IoU Loss [0.0996 (0.1128)] | Total Loss [35.2911 (39.8063)]
Epoch: [1][34/220] | Time [0.559s (0.645s)] | Data [0.246s (0.245s)] | Focal Loss [1.2746 (1.9397)] | Dice Loss [0.5683 (0.4988)] | IoU Loss [0.0762 (0.1118)] | Total Loss [26.1358 (39.4042)]
Epoch: [1][35/220] | Time [0.550s (0.642s)] | Data [0.202s (0.244s)] | Focal Loss [1.3421 (1.9226)] | Dice Loss [0.5943 (0.5016)] | IoU Loss [0.0819 (0.1109)] | Total Loss [27.5187 (39.0646)]
Epoch: [1][36/220] | Time [0.650s (0.642s)] | Data [0.311s (0.246s)] | Focal Loss [1.9337 (1.9229)] | Dice Loss [0.5843 (0.5039)] | IoU Loss [0.1247 (0.1113)] | Total Loss [39.3824 (39.0734)]
Epoch: [1][37/220] | Time [0.535s (0.639s)] | Data [0.238s (0.246s)] | Focal Loss [0.5933 (1.8870)] | Dice Loss [0.7752 (0.5112)] | IoU Loss [0.1008 (0.1110)] | Total Loss [12.7422 (38.3618)]
Epoch: [1][38/220] | Time [0.476s (0.635s)] | Data [0.154s (0.243s)] | Focal Loss [1.3590 (1.8731)] | Dice Loss [0.6046 (0.5137)] | IoU Loss [0.1293 (0.1115)] | Total Loss [27.9149 (38.0869)]
