loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.922s (3.922s)] | Data [1.887s (1.887s)] | Focal Loss [0.8384 (0.8384)] | Dice Loss [0.1483 (0.1483)] | IoU Loss [0.0090 (0.0090)] | Total Loss [16.9248 (16.9248)]
Epoch: [1][2/220] | Time [0.460s (2.191s)] | Data [0.132s (1.010s)] | Focal Loss [0.3472 (0.5928)] | Dice Loss [0.1173 (0.1328)] | IoU Loss [0.0080 (0.0085)] | Total Loss [7.0697 (11.9972)]
Epoch: [1][3/220] | Time [0.383s (1.588s)] | Data [0.086s (0.702s)] | Focal Loss [0.3009 (0.4955)] | Dice Loss [0.2973 (0.1876)] | IoU Loss [0.0117 (0.0096)] | Total Loss [6.3265 (10.1070)]
Epoch: [1][4/220] | Time [0.534s (1.325s)] | Data [0.115s (0.555s)] | Focal Loss [0.5472 (0.5084)] | Dice Loss [0.1064 (0.1673)] | IoU Loss [0.0035 (0.0080)] | Total Loss [11.0540 (10.3437)]
Epoch: [1][5/220] | Time [0.392s (1.138s)] | Data [0.115s (0.467s)] | Focal Loss [0.1351 (0.4338)] | Dice Loss [0.2230 (0.1785)] | IoU Loss [0.0078 (0.0080)] | Total Loss [2.9336 (8.8617)]
Epoch: [1][6/220] | Time [0.392s (1.014s)] | Data [0.072s (0.401s)] | Focal Loss [0.3367 (0.4176)] | Dice Loss [0.0945 (0.1645)] | IoU Loss [0.0028 (0.0071)] | Total Loss [6.8312 (8.5233)]
Epoch: [1][7/220] | Time [0.391s (0.925s)] | Data [0.088s (0.356s)] | Focal Loss [0.2155 (0.3887)] | Dice Loss [0.1828 (0.1671)] | IoU Loss [0.0048 (0.0068)] | Total Loss [4.4985 (7.9483)]
Epoch: [1][8/220] | Time [0.490s (0.870s)] | Data [0.111s (0.326s)] | Focal Loss [0.3530 (0.3843)] | Dice Loss [0.1747 (0.1680)] | IoU Loss [0.0046 (0.0065)] | Total Loss [7.2399 (7.8598)]
Epoch: [1][9/220] | Time [0.445s (0.823s)] | Data [0.122s (0.303s)] | Focal Loss [0.2121 (0.3651)] | Dice Loss [0.1046 (0.1610)] | IoU Loss [0.0026 (0.0061)] | Total Loss [4.3485 (7.4696)]
Epoch: [1][10/220] | Time [0.364s (0.777s)] | Data [0.081s (0.281s)] | Focal Loss [0.2152 (0.3501)] | Dice Loss [0.2006 (0.1650)] | IoU Loss [0.0139 (0.0069)] | Total Loss [4.5195 (7.1746)]
Epoch: [1][11/220] | Time [0.430s (0.746s)] | Data [0.092s (0.264s)] | Focal Loss [0.2057 (0.3370)] | Dice Loss [0.1836 (0.1666)] | IoU Loss [0.0073 (0.0069)] | Total Loss [4.3044 (6.9137)]
