loading annotations into memory...
Done (t=0.34s)
creating index...
index created!
loading annotations into memory...
Done (t=0.08s)
creating index...
index created!
Epoch: [1][1/220] | Time [4.691s (4.691s)] | Data [2.266s (2.266s)] | Focal Loss [2.5744 (2.5744)] | Dice Loss [0.5393 (0.5393)] | IoU Loss [0.1725 (0.1725)] | Total Loss [52.2000 (52.2000)]
Epoch: [1][2/220] | Time [0.308s (2.499s)] | Data [0.158s (1.212s)] | Focal Loss [0.8815 (1.7279)] | Dice Loss [0.4276 (0.4835)] | IoU Loss [0.1307 (0.1516)] | Total Loss [18.1878 (35.1939)]
Epoch: [1][3/220] | Time [0.312s (1.770s)] | Data [0.141s (0.855s)] | Focal Loss [0.7096 (1.3885)] | Dice Loss [0.4522 (0.4730)] | IoU Loss [0.1022 (0.1352)] | Total Loss [14.7464 (28.3781)]
Epoch: [1][4/220] | Time [0.312s (1.406s)] | Data [0.128s (0.673s)] | Focal Loss [1.3839 (1.3873)] | Dice Loss [0.5624 (0.4954)] | IoU Loss [0.1833 (0.1472)] | Total Loss [28.4236 (28.3895)]
Epoch: [1][5/220] | Time [0.380s (1.201s)] | Data [0.246s (0.588s)] | Focal Loss [0.5377 (1.2174)] | Dice Loss [0.3891 (0.4741)] | IoU Loss [0.1027 (0.1383)] | Total Loss [11.2461 (24.9608)]
Epoch: [1][6/220] | Time [0.266s (1.045s)] | Data [0.112s (0.508s)] | Focal Loss [1.0314 (1.1864)] | Dice Loss [0.4888 (0.4766)] | IoU Loss [0.1565 (0.1413)] | Total Loss [21.2726 (24.3461)]
Epoch: [1][7/220] | Time [0.285s (0.936s)] | Data [0.149s (0.457s)] | Focal Loss [0.9072 (1.1465)] | Dice Loss [0.3622 (0.4602)] | IoU Loss [0.1090 (0.1367)] | Total Loss [18.6160 (23.5275)]
Epoch: [1][8/220] | Time [0.342s (0.862s)] | Data [0.172s (0.422s)] | Focal Loss [1.2584 (1.1605)] | Dice Loss [0.4473 (0.4586)] | IoU Loss [0.1185 (0.1344)] | Total Loss [25.7330 (23.8032)]
Epoch: [1][9/220] | Time [0.394s (0.810s)] | Data [0.239s (0.401s)] | Focal Loss [1.1096 (1.1548)] | Dice Loss [0.5136 (0.4647)] | IoU Loss [0.1448 (0.1356)] | Total Loss [22.8503 (23.6973)]
Epoch: [1][10/220] | Time [0.304s (0.759s)] | Data [0.170s (0.378s)] | Focal Loss [0.6120 (1.1006)] | Dice Loss [0.3949 (0.4577)] | IoU Loss [0.0826 (0.1303)] | Total Loss [12.7166 (22.5992)]
Epoch: [1][11/220] | Time [0.290s (0.717s)] | Data [0.134s (0.356s)] | Focal Loss [1.3638 (1.1245)] | Dice Loss [0.4690 (0.4588)] | IoU Loss [0.1627 (0.1332)] | Total Loss [27.9069 (23.0818)]
Epoch: [1][12/220] | Time [0.296s (0.682s)] | Data [0.171s (0.340s)] | Focal Loss [0.6962 (1.0888)] | Dice Loss [0.3392 (0.4488)] | IoU Loss [0.0770 (0.1285)] | Total Loss [14.3410 (22.3534)]
Epoch: [1][13/220] | Time [0.240s (0.648s)] | Data [0.105s (0.322s)] | Focal Loss [1.2591 (1.1019)] | Dice Loss [0.4911 (0.4521)] | IoU Loss [0.1635 (0.1312)] | Total Loss [25.8359 (22.6212)]
Epoch: [1][14/220] | Time [0.320s (0.624s)] | Data [0.164s (0.311s)] | Focal Loss [1.3156 (1.1172)] | Dice Loss [0.6185 (0.4639)] | IoU Loss [0.1738 (0.1343)] | Total Loss [27.1039 (22.9414)]
Epoch: [1][15/220] | Time [0.341s (0.605s)] | Data [0.189s (0.303s)] | Focal Loss [0.7404 (1.0920)] | Dice Loss [0.4341 (0.4619)] | IoU Loss [0.1222 (0.1335)] | Total Loss [15.3639 (22.4363)]
Epoch: [1][16/220] | Time [0.320s (0.588s)] | Data [0.181s (0.295s)] | Focal Loss [0.3956 (1.0485)] | Dice Loss [0.4532 (0.4614)] | IoU Loss [0.0906 (0.1308)] | Total Loss [8.4556 (21.5625)]
Epoch: [1][17/220] | Time [0.294s (0.570s)] | Data [0.136s (0.286s)] | Focal Loss [0.9510 (1.0428)] | Dice Loss [0.4204 (0.4590)] | IoU Loss [0.1014 (0.1291)] | Total Loss [19.5417 (21.4436)]
Epoch: [1][18/220] | Time [0.361s (0.559s)] | Data [0.225s (0.283s)] | Focal Loss [0.4675 (1.0108)] | Dice Loss [0.3192 (0.4512)] | IoU Loss [0.1126 (0.1281)] | Total Loss [9.7811 (20.7957)]
Epoch: [1][19/220] | Time [0.332s (0.547s)] | Data [0.180s (0.277s)] | Focal Loss [0.7278 (0.9959)] | Dice Loss [0.5036 (0.4540)] | IoU Loss [0.0789 (0.1256)] | Total Loss [15.1379 (20.4979)]
Epoch: [1][20/220] | Time [0.308s (0.535s)] | Data [0.183s (0.272s)] | Focal Loss [0.3765 (0.9649)] | Dice Loss [0.4536 (0.4540)] | IoU Loss [0.0967 (0.1241)] | Total Loss [8.0796 (19.8770)]
