Epoch,Focal Loss,Dice Loss,IoU Loss,Total Loss,Validation Loss
1,0.060859045722354246,0.2666253151546035,0.0028709781566711146,1.4866772208507077,0.2614990899375841
2,0.03297234419415066,0.22391760770172084,0.0012811138712300373,0.8846456054810239,0.23678852062599332
Epoch,Focal Loss,Dice Loss,IoU Loss,Total Loss,Validation Loss
1,0.06086160951550702,0.2669435226292708,0.0028722345927658073,1.4870479644566843,0.2608623700399025
2,0.032986788017620124,0.22384082239146655,0.0012797132328816675,0.88485629544307,0.23633542218629053
3,0.029531187254825186,0.2033584694927537,0.001026440345510365,0.7950086523704485,0.21201788561016904
4,0.027528825759090023,0.18859509169919617,0.0008533825916991249,0.7400249923348156,0.20591334647992077
5,0.025518817537525725,0.175415739247359,0.0007182993085610474,0.6865103909223932,0.19788440536050236
6,0.024862823664191645,0.16752900593916212,0.0006379472870901567,0.6654234252920997,0.1906682577203302
7,0.024149041341783178,0.1636342218905212,0.000641076965310562,0.6472561282014521,0.18440277202456606
8,0.02229971723134602,0.15315826213441297,0.0005495384390079278,0.5997021446399102,0.17667359639616573
9,0.02196701690830409,0.147329529217001,0.000471297243744207,0.5871411662777899,0.1768033887241401
