loading annotations into memory...
Done (t=0.13s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.307s (3.307s)] | Data [1.887s (1.887s)] | Focal Loss [0.8384 (0.8384)] | Dice Loss [0.1483 (0.1483)] | IoU Loss [0.0090 (0.0090)] | Total Loss [16.9248 (16.9248)]
Epoch: [1][2/220] | Time [0.464s (1.885s)] | Data [0.136s (1.012s)] | Focal Loss [0.3472 (0.5928)] | Dice Loss [0.1173 (0.1328)] | IoU Loss [0.0080 (0.0085)] | Total Loss [7.0697 (11.9972)]
Epoch: [1][3/220] | Time [0.388s (1.386s)] | Data [0.092s (0.705s)] | Focal Loss [0.3009 (0.4955)] | Dice Loss [0.2977 (0.1878)] | IoU Loss [0.0116 (0.0096)] | Total Loss [6.3279 (10.1074)]
Epoch: [1][4/220] | Time [0.531s (1.173s)] | Data [0.115s (0.558s)] | Focal Loss [0.5471 (0.5084)] | Dice Loss [0.1064 (0.1674)] | IoU Loss [0.0035 (0.0080)] | Total Loss [11.0511 (10.3434)]
Epoch: [1][5/220] | Time [0.390s (1.016s)] | Data [0.114s (0.469s)] | Focal Loss [0.1351 (0.4337)] | Dice Loss [0.2236 (0.1787)] | IoU Loss [0.0077 (0.0080)] | Total Loss [2.9331 (8.8613)]
Epoch: [1][6/220] | Time [0.393s (0.912s)] | Data [0.075s (0.403s)] | Focal Loss [0.3366 (0.4175)] | Dice Loss [0.0945 (0.1646)] | IoU Loss [0.0028 (0.0071)] | Total Loss [6.8297 (8.5227)]
Epoch: [1][7/220] | Time [0.392s (0.838s)] | Data [0.089s (0.358s)] | Focal Loss [0.2157 (0.3887)] | Dice Loss [0.1830 (0.1673)] | IoU Loss [0.0048 (0.0068)] | Total Loss [4.5016 (7.9483)]
Epoch: [1][8/220] | Time [0.503s (0.796s)] | Data [0.123s (0.329s)] | Focal Loss [0.3530 (0.3842)] | Dice Loss [0.1746 (0.1682)] | IoU Loss [0.0046 (0.0065)] | Total Loss [7.2393 (7.8597)]
Epoch: [1][9/220] | Time [0.464s (0.759s)] | Data [0.138s (0.308s)] | Focal Loss [0.2119 (0.3651)] | Dice Loss [0.1045 (0.1611)] | IoU Loss [0.0026 (0.0061)] | Total Loss [4.3444 (7.4691)]
Epoch: [1][10/220] | Time [0.366s (0.720s)] | Data [0.082s (0.285s)] | Focal Loss [0.2150 (0.3501)] | Dice Loss [0.2003 (0.1650)] | IoU Loss [0.0139 (0.0068)] | Total Loss [4.5146 (7.1736)]
Epoch: [1][11/220] | Time [0.438s (0.694s)] | Data [0.100s (0.268s)] | Focal Loss [0.2056 (0.3370)] | Dice Loss [0.1836 (0.1667)] | IoU Loss [0.0072 (0.0069)] | Total Loss [4.3035 (6.9127)]
Epoch: [1][12/220] | Time [0.350s (0.666s)] | Data [0.081s (0.253s)] | Focal Loss [0.0782 (0.3154)] | Dice Loss [0.3798 (0.1845)] | IoU Loss [0.0039 (0.0066)] | Total Loss [1.9470 (6.4989)]
Epoch: [1][13/220] | Time [0.344s (0.641s)] | Data [0.062s (0.238s)] | Focal Loss [0.1194 (0.3003)] | Dice Loss [0.3581 (0.1978)] | IoU Loss [0.0071 (0.0067)] | Total Loss [2.7536 (6.2108)]
Epoch: [1][14/220] | Time [0.417s (0.625s)] | Data [0.085s (0.227s)] | Focal Loss [0.2093 (0.2938)] | Dice Loss [0.4130 (0.2132)] | IoU Loss [0.0056 (0.0066)] | Total Loss [4.6051 (6.0961)]
Epoch: [1][15/220] | Time [0.446s (0.613s)] | Data [0.110s (0.219s)] | Focal Loss [0.1103 (0.2816)] | Dice Loss [0.2298 (0.2143)] | IoU Loss [0.0026 (0.0063)] | Total Loss [2.4377 (5.8522)]
Epoch: [1][16/220] | Time [0.395s (0.599s)] | Data [0.107s (0.212s)] | Focal Loss [0.0646 (0.2680)] | Dice Loss [0.5510 (0.2353)] | IoU Loss [0.0104 (0.0066)] | Total Loss [1.8539 (5.6023)]
Epoch: [1][17/220] | Time [0.483s (0.592s)] | Data [0.128s (0.207s)] | Focal Loss [0.1536 (0.2613)] | Dice Loss [0.4300 (0.2468)] | IoU Loss [0.0033 (0.0064)] | Total Loss [3.5058 (5.4790)]
Epoch: [1][18/220] | Time [0.447s (0.584s)] | Data [0.127s (0.203s)] | Focal Loss [0.0769 (0.2510)] | Dice Loss [0.1464 (0.2412)] | IoU Loss [0.0024 (0.0062)] | Total Loss [1.6872 (5.2683)]
Epoch: [1][19/220] | Time [0.449s (0.577s)] | Data [0.105s (0.198s)] | Focal Loss [0.0854 (0.2423)] | Dice Loss [0.2558 (0.2420)] | IoU Loss [0.0031 (0.0060)] | Total Loss [1.9661 (5.0945)]
Epoch: [1][20/220] | Time [0.413s (0.569s)] | Data [0.123s (0.194s)] | Focal Loss [0.0570 (0.2331)] | Dice Loss [0.2494 (0.2424)] | IoU Loss [0.0054 (0.0060)] | Total Loss [1.3941 (4.9095)]
Epoch: [1][21/220] | Time [0.466s (0.564s)] | Data [0.102s (0.190s)] | Focal Loss [0.0788 (0.2257)] | Dice Loss [0.1445 (0.2377)] | IoU Loss [0.0010 (0.0057)] | Total Loss [1.7223 (4.7577)]
Epoch: [1][22/220] | Time [0.693s (0.570s)] | Data [0.216s (0.191s)] | Focal Loss [0.1693 (0.2232)] | Dice Loss [0.2091 (0.2364)] | IoU Loss [0.0038 (0.0057)] | Total Loss [3.5998 (4.7051)]
Epoch: [1][23/220] | Time [0.534s (0.568s)] | Data [0.176s (0.190s)] | Focal Loss [0.0979 (0.2177)] | Dice Loss [0.2025 (0.2349)] | IoU Loss [0.0059 (0.0057)] | Total Loss [2.1656 (4.5947)]
Epoch: [1][24/220] | Time [0.386s (0.561s)] | Data [0.099s (0.186s)] | Focal Loss [0.0528 (0.2108)] | Dice Loss [0.5521 (0.2481)] | IoU Loss [0.0126 (0.0060)] | Total Loss [1.6216 (4.4708)]
Epoch: [1][25/220] | Time [0.551s (0.561s)] | Data [0.139s (0.184s)] | Focal Loss [0.0701 (0.2052)] | Dice Loss [0.1801 (0.2454)] | IoU Loss [0.0025 (0.0058)] | Total Loss [1.5851 (4.3554)]
Epoch: [1][26/220] | Time [0.463s (0.557s)] | Data [0.133s (0.183s)] | Focal Loss [0.1003 (0.2012)] | Dice Loss [0.6213 (0.2599)] | IoU Loss [0.0064 (0.0058)] | Total Loss [2.6332 (4.2891)]
Epoch: [1][27/220] | Time [0.551s (0.557s)] | Data [0.145s (0.181s)] | Focal Loss [0.0581 (0.1959)] | Dice Loss [0.2021 (0.2577)] | IoU Loss [0.0041 (0.0058)] | Total Loss [1.3687 (4.1810)]
Epoch: [1][28/220] | Time [0.405s (0.551s)] | Data [0.107s (0.179s)] | Focal Loss [0.0403 (0.1903)] | Dice Loss [0.4075 (0.2631)] | IoU Loss [0.0032 (0.0057)] | Total Loss [1.2163 (4.0751)]
Epoch: [1][29/220] | Time [0.403s (0.546s)] | Data [0.084s (0.175s)] | Focal Loss [0.0337 (0.1849)] | Dice Loss [0.1472 (0.2591)] | IoU Loss [0.0014 (0.0055)] | Total Loss [0.8223 (3.9629)]
Epoch: [1][30/220] | Time [0.466s (0.543s)] | Data [0.109s (0.173s)] | Focal Loss [0.1168 (0.1826)] | Dice Loss [0.4390 (0.2651)] | IoU Loss [0.0074 (0.0056)] | Total Loss [2.7815 (3.9236)]
Epoch: [1][31/220] | Time [0.504s (0.542s)] | Data [0.142s (0.172s)] | Focal Loss [0.0663 (0.1789)] | Dice Loss [0.3438 (0.2676)] | IoU Loss [0.0040 (0.0055)] | Total Loss [1.6730 (3.8510)]
Epoch: [1][32/220] | Time [0.472s (0.540s)] | Data [0.131s (0.171s)] | Focal Loss [0.0510 (0.1749)] | Dice Loss [0.2921 (0.2684)] | IoU Loss [0.0053 (0.0055)] | Total Loss [1.3170 (3.7718)]
