loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [4.468s (4.468s)] | Data [1.938s (1.938s)] | Focal Loss [0.8384 (0.8384)] | Dice Loss [0.1483 (0.1483)] | IoU Loss [0.0090 (0.0090)] | Total Loss [16.9248 (16.9248)]
Epoch: [1][2/220] | Time [0.473s (2.471s)] | Data [0.145s (1.042s)] | Focal Loss [0.3472 (0.5928)] | Dice Loss [0.1173 (0.1328)] | IoU Loss [0.0080 (0.0085)] | Total Loss [7.0697 (11.9972)]
Epoch: [1][3/220] | Time [0.395s (1.779s)] | Data [0.100s (0.728s)] | Focal Loss [0.3013 (0.4956)] | Dice Loss [0.2977 (0.1878)] | IoU Loss [0.0117 (0.0096)] | Total Loss [6.3350 (10.1098)]
Epoch: [1][4/220] | Time [0.545s (1.470s)] | Data [0.126s (0.577s)] | Focal Loss [0.5470 (0.5085)] | Dice Loss [0.1064 (0.1674)] | IoU Loss [0.0035 (0.0080)] | Total Loss [11.0501 (10.3449)]
Epoch: [1][5/220] | Time [0.401s (1.256s)] | Data [0.123s (0.486s)] | Focal Loss [0.1352 (0.4338)] | Dice Loss [0.2236 (0.1787)] | IoU Loss [0.0078 (0.0080)] | Total Loss [2.9358 (8.8631)]
Epoch: [1][6/220] | Time [0.399s (1.114s)] | Data [0.079s (0.419s)] | Focal Loss [0.3366 (0.4176)] | Dice Loss [0.0945 (0.1646)] | IoU Loss [0.0028 (0.0071)] | Total Loss [6.8298 (8.5242)]
Epoch: [1][7/220] | Time [0.400s (1.012s)] | Data [0.097s (0.373s)] | Focal Loss [0.2152 (0.3887)] | Dice Loss [0.1826 (0.1672)] | IoU Loss [0.0048 (0.0068)] | Total Loss [4.4915 (7.9481)]
Epoch: [1][8/220] | Time [0.498s (0.947s)] | Data [0.119s (0.341s)] | Focal Loss [0.3529 (0.3842)] | Dice Loss [0.1747 (0.1681)] | IoU Loss [0.0046 (0.0065)] | Total Loss [7.2375 (7.8593)]
Epoch: [1][9/220] | Time [0.457s (0.893s)] | Data [0.132s (0.318s)] | Focal Loss [0.2119 (0.3651)] | Dice Loss [0.1046 (0.1611)] | IoU Loss [0.0026 (0.0061)] | Total Loss [4.3457 (7.4689)]
Epoch: [1][10/220] | Time [0.372s (0.841s)] | Data [0.089s (0.295s)] | Focal Loss [0.2148 (0.3501)] | Dice Loss [0.2005 (0.1650)] | IoU Loss [0.0139 (0.0069)] | Total Loss [4.5099 (7.1730)]
Epoch: [1][11/220] | Time [0.437s (0.804s)] | Data [0.100s (0.277s)] | Focal Loss [0.2054 (0.3369)] | Dice Loss [0.1835 (0.1667)] | IoU Loss [0.0073 (0.0069)] | Total Loss [4.2996 (6.9118)]
Epoch: [1][12/220] | Time [0.355s (0.766s)] | Data [0.088s (0.261s)] | Focal Loss [0.0782 (0.3153)] | Dice Loss [0.3814 (0.1846)] | IoU Loss [0.0039 (0.0066)] | Total Loss [1.9493 (6.4982)]
Epoch: [1][13/220] | Time [0.345s (0.734s)] | Data [0.063s (0.246s)] | Focal Loss [0.1195 (0.3003)] | Dice Loss [0.3598 (0.1981)] | IoU Loss [0.0072 (0.0067)] | Total Loss [2.7565 (6.2104)]
Epoch: [1][14/220] | Time [0.418s (0.711s)] | Data [0.086s (0.235s)] | Focal Loss [0.2095 (0.2938)] | Dice Loss [0.4146 (0.2135)] | IoU Loss [0.0056 (0.0066)] | Total Loss [4.6107 (6.0961)]
Epoch: [1][15/220] | Time [0.451s (0.694s)] | Data [0.115s (0.227s)] | Focal Loss [0.1102 (0.2816)] | Dice Loss [0.2302 (0.2146)] | IoU Loss [0.0026 (0.0063)] | Total Loss [2.4364 (5.8521)]
Epoch: [1][16/220] | Time [0.379s (0.674s)] | Data [0.093s (0.218s)] | Focal Loss [0.0644 (0.2680)] | Dice Loss [0.5529 (0.2358)] | IoU Loss [0.0105 (0.0066)] | Total Loss [1.8514 (5.6021)]
Epoch: [1][17/220] | Time [0.455s (0.662s)] | Data [0.101s (0.211s)] | Focal Loss [0.1537 (0.2613)] | Dice Loss [0.4300 (0.2472)] | IoU Loss [0.0034 (0.0064)] | Total Loss [3.5070 (5.4789)]
Epoch: [1][18/220] | Time [0.438s (0.649s)] | Data [0.119s (0.206s)] | Focal Loss [0.0767 (0.2510)] | Dice Loss [0.1462 (0.2416)] | IoU Loss [0.0024 (0.0062)] | Total Loss [1.6830 (5.2680)]
Epoch: [1][19/220] | Time [0.449s (0.639s)] | Data [0.106s (0.201s)] | Focal Loss [0.0853 (0.2423)] | Dice Loss [0.2555 (0.2423)] | IoU Loss [0.0031 (0.0060)] | Total Loss [1.9649 (5.0941)]
Epoch: [1][20/220] | Time [0.390s (0.626s)] | Data [0.103s (0.196s)] | Focal Loss [0.0575 (0.2330)] | Dice Loss [0.2497 (0.2427)] | IoU Loss [0.0055 (0.0060)] | Total Loss [1.4054 (4.9097)]
Epoch: [1][21/220] | Time [0.464s (0.618s)] | Data [0.102s (0.192s)] | Focal Loss [0.0789 (0.2257)] | Dice Loss [0.1447 (0.2380)] | IoU Loss [0.0010 (0.0058)] | Total Loss [1.7235 (4.7580)]
Epoch: [1][22/220] | Time [0.653s (0.620s)] | Data [0.179s (0.191s)] | Focal Loss [0.1695 (0.2232)] | Dice Loss [0.2096 (0.2367)] | IoU Loss [0.0038 (0.0057)] | Total Loss [3.6034 (4.7055)]
Epoch: [1][23/220] | Time [0.544s (0.617s)] | Data [0.187s (0.191s)] | Focal Loss [0.0975 (0.2177)] | Dice Loss [0.2033 (0.2353)] | IoU Loss [0.0059 (0.0057)] | Total Loss [2.1583 (4.5947)]
Epoch: [1][24/220] | Time [0.392s (0.607s)] | Data [0.106s (0.187s)] | Focal Loss [0.0527 (0.2108)] | Dice Loss [0.5526 (0.2485)] | IoU Loss [0.0129 (0.0060)] | Total Loss [1.6202 (4.4708)]
Epoch: [1][25/220] | Time [0.532s (0.604s)] | Data [0.121s (0.185s)] | Focal Loss [0.0700 (0.2052)] | Dice Loss [0.1811 (0.2458)] | IoU Loss [0.0026 (0.0058)] | Total Loss [1.5833 (4.3553)]
Epoch: [1][26/220] | Time [0.466s (0.599s)] | Data [0.140s (0.183s)] | Focal Loss [0.1004 (0.2012)] | Dice Loss [0.6207 (0.2602)] | IoU Loss [0.0065 (0.0059)] | Total Loss [2.6360 (4.2892)]
Epoch: [1][27/220] | Time [0.558s (0.598s)] | Data [0.156s (0.182s)] | Focal Loss [0.0581 (0.1959)] | Dice Loss [0.2034 (0.2581)] | IoU Loss [0.0042 (0.0058)] | Total Loss [1.3700 (4.1811)]
Epoch: [1][28/220] | Time [0.426s (0.591s)] | Data [0.130s (0.180s)] | Focal Loss [0.0402 (0.1903)] | Dice Loss [0.4034 (0.2633)] | IoU Loss [0.0032 (0.0057)] | Total Loss [1.2110 (4.0750)]
Epoch: [1][29/220] | Time [0.401s (0.585s)] | Data [0.086s (0.177s)] | Focal Loss [0.0336 (0.1849)] | Dice Loss [0.1483 (0.2593)] | IoU Loss [0.0014 (0.0056)] | Total Loss [0.8220 (3.9628)]
Epoch: [1][30/220] | Time [0.468s (0.581s)] | Data [0.113s (0.175s)] | Focal Loss [0.1169 (0.1826)] | Dice Loss [0.4407 (0.2654)] | IoU Loss [0.0075 (0.0056)] | Total Loss [2.7854 (3.9236)]
Epoch: [1][31/220] | Time [0.507s (0.579s)] | Data [0.146s (0.174s)] | Focal Loss [0.0661 (0.1789)] | Dice Loss [0.3454 (0.2680)] | IoU Loss [0.0040 (0.0056)] | Total Loss [1.6707 (3.8509)]
Epoch: [1][32/220] | Time [0.471s (0.575s)] | Data [0.131s (0.172s)] | Focal Loss [0.0508 (0.1749)] | Dice Loss [0.2943 (0.2688)] | IoU Loss [0.0054 (0.0056)] | Total Loss [1.3155 (3.7717)]
Epoch: [1][33/220] | Time [0.539s (0.574s)] | Data [0.139s (0.171s)] | Focal Loss [0.0634 (0.1715)] | Dice Loss [0.2882 (0.2694)] | IoU Loss [0.0046 (0.0055)] | Total Loss [1.5601 (3.7046)]
Epoch: [1][34/220] | Time [0.437s (0.570s)] | Data [0.126s (0.170s)] | Focal Loss [0.0447 (0.1678)] | Dice Loss [0.4340 (0.2742)] | IoU Loss [0.0028 (0.0055)] | Total Loss [1.3301 (3.6348)]
Epoch: [1][35/220] | Time [0.571s (0.570s)] | Data [0.151s (0.170s)] | Focal Loss [0.0808 (0.1653)] | Dice Loss [0.3697 (0.2770)] | IoU Loss [0.0061 (0.0055)] | Total Loss [1.9914 (3.5878)]
Epoch: [1][36/220] | Time [0.596s (0.571s)] | Data [0.190s (0.170s)] | Focal Loss [0.0529 (0.1621)] | Dice Loss [0.2994 (0.2776)] | IoU Loss [0.0071 (0.0055)] | Total Loss [1.3640 (3.5261)]
Epoch: [1][37/220] | Time [0.407s (0.566s)] | Data [0.118s (0.169s)] | Focal Loss [0.0326 (0.1586)] | Dice Loss [0.5550 (0.2851)] | IoU Loss [0.0044 (0.0055)] | Total Loss [1.2104 (3.4635)]
Epoch: [1][38/220] | Time [0.473s (0.564s)] | Data [0.106s (0.167s)] | Focal Loss [0.0649 (0.1562)] | Dice Loss [0.4363 (0.2891)] | IoU Loss [0.0068 (0.0055)] | Total Loss [1.7405 (3.4181)]
Epoch: [1][39/220] | Time [0.531s (0.563s)] | Data [0.156s (0.167s)] | Focal Loss [0.0498 (0.1534)] | Dice Loss [0.3200 (0.2898)] | IoU Loss [0.0063 (0.0055)] | Total Loss [1.3214 (3.3644)]
Epoch: [1][40/220] | Time [0.480s (0.561s)] | Data [0.138s (0.166s)] | Focal Loss [0.0555 (0.1510)] | Dice Loss [0.3673 (0.2918)] | IoU Loss [0.0096 (0.0056)] | Total Loss [1.4862 (3.3174)]
Epoch: [1][41/220] | Time [0.464s (0.559s)] | Data [0.121s (0.165s)] | Focal Loss [0.0502 (0.1485)] | Dice Loss [0.4104 (0.2947)] | IoU Loss [0.0058 (0.0057)] | Total Loss [1.4195 (3.2711)]
Epoch: [1][42/220] | Time [0.410s (0.555s)] | Data [0.103s (0.164s)] | Focal Loss [0.0359 (0.1459)] | Dice Loss [0.2585 (0.2938)] | IoU Loss [0.0020 (0.0056)] | Total Loss [0.9787 (3.2166)]
Epoch: [1][43/220] | Time [0.412s (0.552s)] | Data [0.100s (0.162s)] | Focal Loss [0.0418 (0.1434)] | Dice Loss [0.3724 (0.2956)] | IoU Loss [0.0056 (0.0056)] | Total Loss [1.2140 (3.1700)]
Epoch: [1][44/220] | Time [0.530s (0.551s)] | Data [0.136s (0.161s)] | Focal Loss [0.0657 (0.1417)] | Dice Loss [0.3578 (0.2971)] | IoU Loss [0.0035 (0.0055)] | Total Loss [1.6745 (3.1360)]
