loading annotations into memory...
Done (t=0.24s)
creating index...
index created!
loading annotations into memory...
Done (t=0.05s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.122s (3.122s)] | Data [2.007s (2.007s)] | Focal Loss [0.9468 (0.9468)] | Dice Loss [0.1299 (0.1299)] | IoU Loss [0.0050 (0.0050)] | Total Loss [19.0713 (19.0713)]
Epoch: [1][2/220] | Time [0.453s (1.787s)] | Data [0.142s (1.075s)] | Focal Loss [0.3583 (0.6526)] | Dice Loss [0.0961 (0.1130)] | IoU Loss [0.0031 (0.0041)] | Total Loss [7.2653 (13.1683)]
Epoch: [1][3/220] | Time [0.469s (1.348s)] | Data [0.136s (0.762s)] | Focal Loss [0.4043 (0.5698)] | Dice Loss [0.2027 (0.1429)] | IoU Loss [0.0081 (0.0054)] | Total Loss [8.2959 (11.5442)]
Epoch: [1][4/220] | Time [0.474s (1.129s)] | Data [0.131s (0.604s)] | Focal Loss [0.6231 (0.5831)] | Dice Loss [0.1021 (0.1327)] | IoU Loss [0.0025 (0.0047)] | Total Loss [12.5675 (11.8000)]
Epoch: [1][5/220] | Time [0.516s (1.007s)] | Data [0.222s (0.528s)] | Focal Loss [0.1292 (0.4924)] | Dice Loss [0.1556 (0.1373)] | IoU Loss [0.0055 (0.0049)] | Total Loss [2.7456 (9.9892)]
Epoch: [1][6/220] | Time [0.399s (0.905s)] | Data [0.095s (0.456s)] | Focal Loss [0.4311 (0.4821)] | Dice Loss [0.0839 (0.1284)] | IoU Loss [0.0016 (0.0043)] | Total Loss [8.7065 (9.7754)]
Epoch: [1][7/220] | Time [0.441s (0.839s)] | Data [0.136s (0.410s)] | Focal Loss [0.2499 (0.4490)] | Dice Loss [0.1399 (0.1300)] | IoU Loss [0.0036 (0.0042)] | Total Loss [5.1406 (9.1133)]
Epoch: [1][8/220] | Time [0.470s (0.793s)] | Data [0.139s (0.376s)] | Focal Loss [0.5316 (0.4593)] | Dice Loss [0.1556 (0.1332)] | IoU Loss [0.0068 (0.0045)] | Total Loss [10.7952 (9.3235)]
Epoch: [1][9/220] | Time [0.504s (0.761s)] | Data [0.194s (0.356s)] | Focal Loss [0.3588 (0.4481)] | Dice Loss [0.0906 (0.1285)] | IoU Loss [0.0032 (0.0044)] | Total Loss [7.2693 (9.0953)]
Epoch: [1][10/220] | Time [0.430s (0.728s)] | Data [0.130s (0.333s)] | Focal Loss [0.2097 (0.4243)] | Dice Loss [0.1143 (0.1271)] | IoU Loss [0.0108 (0.0050)] | Total Loss [4.3190 (8.6176)]
Epoch: [1][11/220] | Time [0.428s (0.701s)] | Data [0.111s (0.313s)] | Focal Loss [0.3382 (0.4165)] | Dice Loss [0.1168 (0.1262)] | IoU Loss [0.0044 (0.0050)] | Total Loss [6.8850 (8.4601)]
Epoch: [1][12/220] | Time [0.416s (0.677s)] | Data [0.137s (0.298s)] | Focal Loss [0.1344 (0.3929)] | Dice Loss [0.1997 (0.1323)] | IoU Loss [0.0035 (0.0048)] | Total Loss [2.8918 (7.9961)]
Epoch: [1][13/220] | Time [0.374s (0.654s)] | Data [0.089s (0.282s)] | Focal Loss [0.1995 (0.3781)] | Dice Loss [0.1352 (0.1325)] | IoU Loss [0.0070 (0.0050)] | Total Loss [4.1321 (7.6989)]
Epoch: [1][14/220] | Time [0.425s (0.637s)] | Data [0.117s (0.270s)] | Focal Loss [0.3017 (0.3726)] | Dice Loss [0.2144 (0.1384)] | IoU Loss [0.0047 (0.0050)] | Total Loss [6.2534 (7.5956)]
Epoch: [1][15/220] | Time [0.484s (0.627s)] | Data [0.167s (0.264s)] | Focal Loss [0.2115 (0.3619)] | Dice Loss [0.1297 (0.1378)] | IoU Loss [0.0026 (0.0048)] | Total Loss [4.3627 (7.3801)]
Epoch: [1][16/220] | Time [0.447s (0.616s)] | Data [0.147s (0.256s)] | Focal Loss [0.2313 (0.3537)] | Dice Loss [0.2371 (0.1440)] | IoU Loss [0.0153 (0.0055)] | Total Loss [4.8786 (7.2237)]
