loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.867s (3.867s)] | Data [1.938s (1.938s)] | Focal Loss [0.9468 (0.9468)] | Dice Loss [0.1299 (0.1299)] | IoU Loss [0.0050 (0.0050)] | Total Loss [19.0713 (19.0713)]
Epoch: [1][2/220] | Time [0.967s (2.417s)] | Data [0.137s (1.038s)] | Focal Loss [0.3583 (0.6526)] | Dice Loss [0.0961 (0.1130)] | IoU Loss [0.0031 (0.0041)] | Total Loss [7.2653 (13.1683)]
Epoch: [1][3/220] | Time [0.906s (1.913s)] | Data [0.105s (0.727s)] | Focal Loss [0.4043 (0.5698)] | Dice Loss [0.2027 (0.1429)] | IoU Loss [0.0081 (0.0054)] | Total Loss [8.2962 (11.5443)]
Epoch: [1][4/220] | Time [1.061s (1.700s)] | Data [0.138s (0.580s)] | Focal Loss [0.6225 (0.5830)] | Dice Loss [0.1021 (0.1327)] | IoU Loss [0.0025 (0.0047)] | Total Loss [12.5549 (11.7970)]
Epoch: [1][5/220] | Time [0.915s (1.543s)] | Data [0.133s (0.490s)] | Focal Loss [0.1287 (0.4921)] | Dice Loss [0.1554 (0.1372)] | IoU Loss [0.0055 (0.0049)] | Total Loss [2.7340 (9.9844)]
Epoch: [1][6/220] | Time [0.925s (1.440s)] | Data [0.098s (0.425s)] | Focal Loss [0.4289 (0.4816)] | Dice Loss [0.0838 (0.1283)] | IoU Loss [0.0016 (0.0043)] | Total Loss [8.6633 (9.7642)]
Epoch: [1][7/220] | Time [0.916s (1.365s)] | Data [0.107s (0.380s)] | Focal Loss [0.2254 (0.4450)] | Dice Loss [0.1361 (0.1294)] | IoU Loss [0.0033 (0.0042)] | Total Loss [4.6465 (9.0331)]
Epoch: [1][8/220] | Time [1.011s (1.321s)] | Data [0.128s (0.348s)] | Focal Loss [0.3809 (0.4370)] | Dice Loss [0.1319 (0.1297)] | IoU Loss [0.0050 (0.0043)] | Total Loss [7.7541 (8.8732)]
Epoch: [1][9/220] | Time [0.965s (1.281s)] | Data [0.134s (0.324s)] | Focal Loss [0.2484 (0.4160)] | Dice Loss [0.0882 (0.1251)] | IoU Loss [0.0026 (0.0041)] | Total Loss [5.0581 (8.4493)]
Epoch: [1][10/220] | Time [0.902s (1.243s)] | Data [0.110s (0.303s)] | Focal Loss [0.1489 (0.3893)] | Dice Loss [0.1106 (0.1237)] | IoU Loss [0.0096 (0.0046)] | Total Loss [3.0986 (7.9143)]
Epoch: [1][11/220] | Time [0.958s (1.218s)] | Data [0.111s (0.285s)] | Focal Loss [0.1529 (0.3678)] | Dice Loss [0.1050 (0.1220)] | IoU Loss [0.0012 (0.0043)] | Total Loss [3.1642 (7.4824)]
Epoch: [1][12/220] | Time [0.876s (1.189s)] | Data [0.103s (0.270s)] | Focal Loss [0.1173 (0.3469)] | Dice Loss [0.1728 (0.1262)] | IoU Loss [0.0032 (0.0042)] | Total Loss [2.5218 (7.0690)]
Epoch: [1][13/220] | Time [0.878s (1.165s)] | Data [0.086s (0.256s)] | Focal Loss [0.1052 (0.3283)] | Dice Loss [0.1214 (0.1258)] | IoU Loss [0.0017 (0.0040)] | Total Loss [2.2277 (6.6966)]
Epoch: [1][14/220] | Time [0.954s (1.150s)] | Data [0.112s (0.246s)] | Focal Loss [0.1704 (0.3171)] | Dice Loss [0.1953 (0.1308)] | IoU Loss [0.0021 (0.0039)] | Total Loss [3.6048 (6.4758)]
Epoch: [1][15/220] | Time [0.976s (1.139s)] | Data [0.130s (0.238s)] | Focal Loss [0.1136 (0.3035)] | Dice Loss [0.1235 (0.1303)] | IoU Loss [0.0019 (0.0038)] | Total Loss [2.3970 (6.2039)]
Epoch: [1][16/220] | Time [0.909s (1.124s)] | Data [0.116s (0.230s)] | Focal Loss [0.0770 (0.2893)] | Dice Loss [0.1876 (0.1339)] | IoU Loss [0.0039 (0.0038)] | Total Loss [1.7320 (5.9244)]
Epoch: [1][17/220] | Time [0.980s (1.116s)] | Data [0.117s (0.224s)] | Focal Loss [0.1377 (0.2804)] | Dice Loss [0.1501 (0.1349)] | IoU Loss [0.0029 (0.0037)] | Total Loss [2.9076 (5.7469)]
Epoch: [1][18/220] | Time [0.958s (1.107s)] | Data [0.129s (0.219s)] | Focal Loss [0.0547 (0.2679)] | Dice Loss [0.0956 (0.1327)] | IoU Loss [0.0029 (0.0037)] | Total Loss [1.1921 (5.4939)]
Epoch: [1][19/220] | Time [0.975s (1.100s)] | Data [0.124s (0.214s)] | Focal Loss [0.0838 (0.2582)] | Dice Loss [0.1454 (0.1333)] | IoU Loss [0.0033 (0.0037)] | Total Loss [1.8254 (5.3008)]
Epoch: [1][20/220] | Time [0.912s (1.091s)] | Data [0.115s (0.209s)] | Focal Loss [0.0557 (0.2481)] | Dice Loss [0.1653 (0.1349)] | IoU Loss [0.0045 (0.0037)] | Total Loss [1.2838 (5.0999)]
Epoch: [1][21/220] | Time [0.994s (1.086s)] | Data [0.121s (0.204s)] | Focal Loss [0.0518 (0.2387)] | Dice Loss [0.0828 (0.1325)] | IoU Loss [0.0016 (0.0036)] | Total Loss [1.1195 (4.9104)]
Epoch: [1][22/220] | Time [1.170s (1.090s)] | Data [0.186s (0.204s)] | Focal Loss [0.1430 (0.2344)] | Dice Loss [0.1408 (0.1328)] | IoU Loss [0.0022 (0.0035)] | Total Loss [3.0029 (4.8237)]
Epoch: [1][23/220] | Time [1.050s (1.088s)] | Data [0.183s (0.203s)] | Focal Loss [0.0601 (0.2268)] | Dice Loss [0.1128 (0.1320)] | IoU Loss [0.0030 (0.0035)] | Total Loss [1.3177 (4.6713)]
Epoch: [1][24/220] | Time [0.919s (1.081s)] | Data [0.121s (0.199s)] | Focal Loss [0.0427 (0.2191)] | Dice Loss [0.2537 (0.1370)] | IoU Loss [0.0067 (0.0037)] | Total Loss [1.1136 (4.5230)]
Epoch: [1][25/220] | Time [1.060s (1.080s)] | Data [0.140s (0.197s)] | Focal Loss [0.0578 (0.2127)] | Dice Loss [0.1259 (0.1366)] | IoU Loss [0.0024 (0.0036)] | Total Loss [1.2839 (4.3935)]
Epoch: [1][26/220] | Time [0.988s (1.077s)] | Data [0.154s (0.195s)] | Focal Loss [0.0829 (0.2077)] | Dice Loss [0.2415 (0.1406)] | IoU Loss [0.0017 (0.0035)] | Total Loss [1.9015 (4.2976)]
Epoch: [1][27/220] | Time [1.061s (1.076s)] | Data [0.148s (0.194s)] | Focal Loss [0.0464 (0.2017)] | Dice Loss [0.1185 (0.1398)] | IoU Loss [0.0038 (0.0035)] | Total Loss [1.0508 (4.1774)]
Epoch: [1][28/220] | Time [0.946s (1.071s)] | Data [0.140s (0.192s)] | Focal Loss [0.0350 (0.1957)] | Dice Loss [0.1792 (0.1412)] | IoU Loss [0.0062 (0.0036)] | Total Loss [0.8853 (4.0598)]
Epoch: [1][29/220] | Time [0.929s (1.067s)] | Data [0.104s (0.189s)] | Focal Loss [0.0262 (0.1899)] | Dice Loss [0.1043 (0.1399)] | IoU Loss [0.0038 (0.0036)] | Total Loss [0.6326 (3.9416)]
Epoch: [1][30/220] | Time [0.993s (1.064s)] | Data [0.127s (0.187s)] | Focal Loss [0.1102 (0.1872)] | Dice Loss [0.2380 (0.1432)] | IoU Loss [0.0068 (0.0037)] | Total Loss [2.4493 (3.8919)]
Epoch: [1][31/220] | Time [1.024s (1.063s)] | Data [0.152s (0.185s)] | Focal Loss [0.0599 (0.1831)] | Dice Loss [0.2217 (0.1457)] | IoU Loss [0.0046 (0.0038)] | Total Loss [1.4239 (3.8123)]
Epoch: [1][32/220] | Time [1.001s (1.061s)] | Data [0.149s (0.184s)] | Focal Loss [0.0417 (0.1787)] | Dice Loss [0.1800 (0.1468)] | IoU Loss [0.0050 (0.0038)] | Total Loss [1.0183 (3.7249)]
