loading annotations into memory...
Done (t=0.13s)
creating index...
index created!
loading annotations into memory...
Done (t=0.04s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.830s (3.830s)] | Data [1.907s (1.907s)] | Focal Loss [0.9468 (0.9468)] | Dice Loss [0.1299 (0.1299)] | IoU Loss [0.0050 (0.0050)] | Total Loss [19.0713 (19.0713)]
Epoch: [1][2/220] | Time [0.967s (2.399s)] | Data [0.138s (1.023s)] | Focal Loss [0.3583 (0.6526)] | Dice Loss [0.0961 (0.1130)] | IoU Loss [0.0031 (0.0041)] | Total Loss [7.2653 (13.1683)]
Epoch: [1][3/220] | Time [0.901s (1.899s)] | Data [0.106s (0.717s)] | Focal Loss [0.4043 (0.5698)] | Dice Loss [0.2027 (0.1429)] | IoU Loss [0.0081 (0.0054)] | Total Loss [8.2965 (11.5444)]
Epoch: [1][4/220] | Time [1.058s (1.689s)] | Data [0.141s (0.573s)] | Focal Loss [0.6225 (0.5830)] | Dice Loss [0.1021 (0.1327)] | IoU Loss [0.0025 (0.0047)] | Total Loss [12.5550 (11.7970)]
Epoch: [1][5/220] | Time [0.910s (1.533s)] | Data [0.134s (0.485s)] | Focal Loss [0.1286 (0.4921)] | Dice Loss [0.1553 (0.1372)] | IoU Loss [0.0055 (0.0049)] | Total Loss [2.7336 (9.9844)]
Epoch: [1][6/220] | Time [0.918s (1.431s)] | Data [0.098s (0.421s)] | Focal Loss [0.4290 (0.4816)] | Dice Loss [0.0838 (0.1283)] | IoU Loss [0.0016 (0.0043)] | Total Loss [8.6653 (9.7645)]
Epoch: [1][7/220] | Time [0.910s (1.356s)] | Data [0.107s (0.376s)] | Focal Loss [0.2254 (0.4450)] | Dice Loss [0.1361 (0.1294)] | IoU Loss [0.0033 (0.0042)] | Total Loss [4.6470 (9.0334)]
Epoch: [1][8/220] | Time [1.008s (1.313s)] | Data [0.128s (0.345s)] | Focal Loss [0.3811 (0.4370)] | Dice Loss [0.1319 (0.1297)] | IoU Loss [0.0050 (0.0043)] | Total Loss [7.7590 (8.8741)]
Epoch: [1][9/220] | Time [0.971s (1.275s)] | Data [0.145s (0.323s)] | Focal Loss [0.2485 (0.4161)] | Dice Loss [0.0882 (0.1251)] | IoU Loss [0.0026 (0.0041)] | Total Loss [5.0603 (8.4504)]
Epoch: [1][10/220] | Time [0.902s (1.237s)] | Data [0.116s (0.302s)] | Focal Loss [0.1491 (0.3894)] | Dice Loss [0.1105 (0.1237)] | IoU Loss [0.0096 (0.0046)] | Total Loss [3.1012 (7.9155)]
Epoch: [1][11/220] | Time [0.951s (1.211s)] | Data [0.113s (0.285s)] | Focal Loss [0.1533 (0.3679)] | Dice Loss [0.1050 (0.1220)] | IoU Loss [0.0012 (0.0043)] | Total Loss [3.1717 (7.4842)]
Epoch: [1][12/220] | Time [0.871s (1.183s)] | Data [0.105s (0.270s)] | Focal Loss [0.1176 (0.3470)] | Dice Loss [0.1728 (0.1262)] | IoU Loss [0.0032 (0.0042)] | Total Loss [2.5275 (7.0711)]
Epoch: [1][13/220] | Time [0.873s (1.159s)] | Data [0.087s (0.256s)] | Focal Loss [0.1054 (0.3284)] | Dice Loss [0.1214 (0.1258)] | IoU Loss [0.0017 (0.0040)] | Total Loss [2.2313 (6.6989)]
Epoch: [1][14/220] | Time [0.947s (1.144s)] | Data [0.114s (0.246s)] | Focal Loss [0.1707 (0.3172)] | Dice Loss [0.1952 (0.1308)] | IoU Loss [0.0021 (0.0039)] | Total Loss [3.6114 (6.4783)]
Epoch: [1][15/220] | Time [0.971s (1.132s)] | Data [0.131s (0.238s)] | Focal Loss [0.1138 (0.3036)] | Dice Loss [0.1234 (0.1303)] | IoU Loss [0.0019 (0.0038)] | Total Loss [2.4010 (6.2065)]
Epoch: [1][16/220] | Time [0.906s (1.118s)] | Data [0.119s (0.231s)] | Focal Loss [0.0771 (0.2895)] | Dice Loss [0.1874 (0.1339)] | IoU Loss [0.0039 (0.0038)] | Total Loss [1.7332 (5.9269)]
Epoch: [1][17/220] | Time [0.975s (1.110s)] | Data [0.116s (0.224s)] | Focal Loss [0.1382 (0.2806)] | Dice Loss [0.1499 (0.1348)] | IoU Loss [0.0029 (0.0037)] | Total Loss [2.9168 (5.7499)]
Epoch: [1][18/220] | Time [0.955s (1.101s)] | Data [0.131s (0.219s)] | Focal Loss [0.0547 (0.2680)] | Dice Loss [0.0954 (0.1326)] | IoU Loss [0.0029 (0.0037)] | Total Loss [1.1929 (5.4967)]
Epoch: [1][19/220] | Time [0.970s (1.094s)] | Data [0.124s (0.214s)] | Focal Loss [0.0841 (0.2583)] | Dice Loss [0.1452 (0.1333)] | IoU Loss [0.0033 (0.0037)] | Total Loss [1.8301 (5.3037)]
Epoch: [1][20/220] | Time [0.913s (1.085s)] | Data [0.124s (0.209s)] | Focal Loss [0.0557 (0.2482)] | Dice Loss [0.1650 (0.1349)] | IoU Loss [0.0045 (0.0037)] | Total Loss [1.2839 (5.1027)]
Epoch: [1][21/220] | Time [0.994s (1.081s)] | Data [0.128s (0.205s)] | Focal Loss [0.0519 (0.2389)] | Dice Loss [0.0827 (0.1324)] | IoU Loss [0.0016 (0.0036)] | Total Loss [1.1216 (4.9131)]
Epoch: [1][22/220] | Time [1.167s (1.085s)] | Data [0.188s (0.205s)] | Focal Loss [0.1434 (0.2345)] | Dice Loss [0.1406 (0.1328)] | IoU Loss [0.0022 (0.0035)] | Total Loss [3.0112 (4.8267)]
Epoch: [1][23/220] | Time [1.051s (1.083s)] | Data [0.189s (0.204s)] | Focal Loss [0.0603 (0.2269)] | Dice Loss [0.1125 (0.1319)] | IoU Loss [0.0030 (0.0035)] | Total Loss [1.3222 (4.6743)]
Epoch: [1][24/220] | Time [0.919s (1.077s)] | Data [0.131s (0.201s)] | Focal Loss [0.0428 (0.2193)] | Dice Loss [0.2530 (0.1369)] | IoU Loss [0.0067 (0.0036)] | Total Loss [1.1156 (4.5260)]
Epoch: [1][25/220] | Time [1.076s (1.077s)] | Data [0.162s (0.199s)] | Focal Loss [0.0580 (0.2128)] | Dice Loss [0.1257 (0.1365)] | IoU Loss [0.0024 (0.0036)] | Total Loss [1.2880 (4.3965)]
Epoch: [1][26/220] | Time [0.981s (1.073s)] | Data [0.151s (0.197s)] | Focal Loss [0.0830 (0.2078)] | Dice Loss [0.2409 (0.1405)] | IoU Loss [0.0017 (0.0035)] | Total Loss [1.9032 (4.3006)]
Epoch: [1][27/220] | Time [1.055s (1.072s)] | Data [0.150s (0.196s)] | Focal Loss [0.0465 (0.2019)] | Dice Loss [0.1182 (0.1397)] | IoU Loss [0.0038 (0.0035)] | Total Loss [1.0520 (4.1803)]
Epoch: [1][28/220] | Time [0.948s (1.068s)] | Data [0.147s (0.194s)] | Focal Loss [0.0350 (0.1959)] | Dice Loss [0.1787 (0.1411)] | IoU Loss [0.0062 (0.0036)] | Total Loss [0.8857 (4.0626)]
Epoch: [1][29/220] | Time [0.919s (1.063s)] | Data [0.104s (0.191s)] | Focal Loss [0.0263 (0.1900)] | Dice Loss [0.1040 (0.1398)] | IoU Loss [0.0037 (0.0036)] | Total Loss [0.6337 (3.9444)]
Epoch: [1][30/220] | Time [0.988s (1.060s)] | Data [0.129s (0.189s)] | Focal Loss [0.1104 (0.1874)] | Dice Loss [0.2375 (0.1430)] | IoU Loss [0.0067 (0.0037)] | Total Loss [2.4522 (3.8947)]
Epoch: [1][31/220] | Time [1.023s (1.059s)] | Data [0.156s (0.188s)] | Focal Loss [0.0600 (0.1833)] | Dice Loss [0.2212 (0.1456)] | IoU Loss [0.0046 (0.0038)] | Total Loss [1.4260 (3.8150)]
Epoch: [1][32/220] | Time [1.003s (1.057s)] | Data [0.160s (0.187s)] | Focal Loss [0.0417 (0.1789)] | Dice Loss [0.1796 (0.1466)] | IoU Loss [0.0050 (0.0038)] | Total Loss [1.0195 (3.7277)]
Epoch: [1][33/220] | Time [1.062s (1.057s)] | Data [0.160s (0.186s)] | Focal Loss [0.0417 (0.1747)] | Dice Loss [0.1792 (0.1476)] | IoU Loss [0.0054 (0.0038)] | Total Loss [1.0188 (3.6456)]
Epoch: [1][34/220] | Time [0.955s (1.054s)] | Data [0.142s (0.185s)] | Focal Loss [0.0332 (0.1705)] | Dice Loss [0.2379 (0.1503)] | IoU Loss [0.0048 (0.0039)] | Total Loss [0.9064 (3.5650)]
