loading annotations into memory...
Done (t=0.13s)
creating index...
index created!
loading annotations into memory...
Done (t=0.04s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.790s (3.790s)] | Data [1.856s (1.856s)] | Focal Loss [0.9468 (0.9468)] | Dice Loss [0.1299 (0.1299)] | IoU Loss [0.0050 (0.0050)] | Total Loss [19.0713 (19.0713)]
Epoch: [1][2/220] | Time [0.959s (2.375s)] | Data [0.135s (0.995s)] | Focal Loss [0.3583 (0.6526)] | Dice Loss [0.0961 (0.1130)] | IoU Loss [0.0031 (0.0041)] | Total Loss [7.2653 (13.1683)]
Epoch: [1][3/220] | Time [0.900s (1.883s)] | Data [0.104s (0.698s)] | Focal Loss [0.4043 (0.5698)] | Dice Loss [0.2027 (0.1429)] | IoU Loss [0.0081 (0.0054)] | Total Loss [8.2971 (11.5446)]
Epoch: [1][4/220] | Time [1.052s (1.675s)] | Data [0.139s (0.558s)] | Focal Loss [0.6224 (0.5830)] | Dice Loss [0.1021 (0.1327)] | IoU Loss [0.0025 (0.0047)] | Total Loss [12.5528 (11.7966)]
Epoch: [1][5/220] | Time [0.911s (1.522s)] | Data [0.132s (0.473s)] | Focal Loss [0.1287 (0.4921)] | Dice Loss [0.1554 (0.1372)] | IoU Loss [0.0055 (0.0049)] | Total Loss [2.7346 (9.9842)]
Epoch: [1][6/220] | Time [0.921s (1.422s)] | Data [0.098s (0.410s)] | Focal Loss [0.4293 (0.4816)] | Dice Loss [0.0838 (0.1283)] | IoU Loss [0.0016 (0.0043)] | Total Loss [8.6708 (9.7653)]
Epoch: [1][7/220] | Time [0.914s (1.350s)] | Data [0.109s (0.367s)] | Focal Loss [0.2254 (0.4450)] | Dice Loss [0.1361 (0.1294)] | IoU Loss [0.0033 (0.0042)] | Total Loss [4.6468 (9.0341)]
Epoch: [1][8/220] | Time [1.007s (1.307s)] | Data [0.127s (0.337s)] | Focal Loss [0.3809 (0.4370)] | Dice Loss [0.1319 (0.1297)] | IoU Loss [0.0050 (0.0043)] | Total Loss [7.7544 (8.8741)]
Epoch: [1][9/220] | Time [0.958s (1.268s)] | Data [0.133s (0.315s)] | Focal Loss [0.2484 (0.4160)] | Dice Loss [0.0882 (0.1251)] | IoU Loss [0.0026 (0.0041)] | Total Loss [5.0579 (8.4501)]
Epoch: [1][10/220] | Time [0.895s (1.231s)] | Data [0.108s (0.294s)] | Focal Loss [0.1489 (0.3893)] | Dice Loss [0.1106 (0.1237)] | IoU Loss [0.0096 (0.0046)] | Total Loss [3.0982 (7.9149)]
Epoch: [1][11/220] | Time [0.952s (1.205s)] | Data [0.111s (0.277s)] | Focal Loss [0.1528 (0.3678)] | Dice Loss [0.1049 (0.1220)] | IoU Loss [0.0012 (0.0043)] | Total Loss [3.1629 (7.4829)]
Epoch: [1][12/220] | Time [0.876s (1.178s)] | Data [0.105s (0.263s)] | Focal Loss [0.1172 (0.3469)] | Dice Loss [0.1728 (0.1262)] | IoU Loss [0.0032 (0.0042)] | Total Loss [2.5204 (7.0694)]
Epoch: [1][13/220] | Time [0.872s (1.154s)] | Data [0.086s (0.249s)] | Focal Loss [0.1052 (0.3284)] | Dice Loss [0.1215 (0.1258)] | IoU Loss [0.0017 (0.0040)] | Total Loss [2.2277 (6.6970)]
Epoch: [1][14/220] | Time [0.945s (1.139s)] | Data [0.111s (0.239s)] | Focal Loss [0.1704 (0.3171)] | Dice Loss [0.1953 (0.1308)] | IoU Loss [0.0021 (0.0039)] | Total Loss [3.6057 (6.4762)]
Epoch: [1][15/220] | Time [0.966s (1.128s)] | Data [0.126s (0.232s)] | Focal Loss [0.1136 (0.3035)] | Dice Loss [0.1236 (0.1303)] | IoU Loss [0.0019 (0.0038)] | Total Loss [2.3976 (6.2043)]
Epoch: [1][16/220] | Time [0.904s (1.114s)] | Data [0.115s (0.225s)] | Focal Loss [0.0770 (0.2894)] | Dice Loss [0.1874 (0.1339)] | IoU Loss [0.0039 (0.0038)] | Total Loss [1.7308 (5.9247)]
Epoch: [1][17/220] | Time [0.972s (1.105s)] | Data [0.115s (0.218s)] | Focal Loss [0.1378 (0.2804)] | Dice Loss [0.1500 (0.1348)] | IoU Loss [0.0029 (0.0037)] | Total Loss [2.9096 (5.7473)]
Epoch: [1][18/220] | Time [0.951s (1.097s)] | Data [0.128s (0.213s)] | Focal Loss [0.0546 (0.2679)] | Dice Loss [0.0955 (0.1326)] | IoU Loss [0.0029 (0.0037)] | Total Loss [1.1908 (5.4942)]
Epoch: [1][19/220] | Time [0.969s (1.090s)] | Data [0.123s (0.208s)] | Focal Loss [0.0838 (0.2582)] | Dice Loss [0.1453 (0.1333)] | IoU Loss [0.0033 (0.0037)] | Total Loss [1.8251 (5.3011)]
Epoch: [1][20/220] | Time [0.908s (1.081s)] | Data [0.117s (0.204s)] | Focal Loss [0.0556 (0.2481)] | Dice Loss [0.1651 (0.1349)] | IoU Loss [0.0045 (0.0037)] | Total Loss [1.2808 (5.1001)]
Epoch: [1][21/220] | Time [0.985s (1.077s)] | Data [0.122s (0.200s)] | Focal Loss [0.0518 (0.2387)] | Dice Loss [0.0828 (0.1324)] | IoU Loss [0.0016 (0.0036)] | Total Loss [1.1196 (4.9105)]
