loading annotations into memory...
Done (t=0.17s)
creating index...
index created!
loading annotations into memory...
Done (t=0.05s)
creating index...
index created!
Epoch: [1][1/439] | Time [3.034s (3.034s)] | Data [2.191s (2.191s)] | Focal Loss [0.7878 (0.7878)] | Dice Loss [0.3125 (0.3125)] | IoU Loss [0.1635 (0.1635)] | Total Loss [16.2319 (16.2319)]
Epoch: [1][2/439] | Time [0.266s (1.650s)] | Data [0.100s (1.146s)] | Focal Loss [0.2564 (0.5221)] | Dice Loss [0.2583 (0.2854)] | IoU Loss [0.1304 (0.1469)] | Total Loss [5.5161 (10.8740)]
Epoch: [1][3/439] | Time [0.250s (1.183s)] | Data [0.084s (0.792s)] | Focal Loss [0.2605 (0.4349)] | Dice Loss [0.2438 (0.2716)] | IoU Loss [0.1367 (0.1435)] | Total Loss [5.5896 (9.1125)]
Epoch: [1][4/439] | Time [0.256s (0.952s)] | Data [0.091s (0.617s)] | Focal Loss [0.1938 (0.3746)] | Dice Loss [0.2534 (0.2670)] | IoU Loss [0.1550 (0.1464)] | Total Loss [4.2839 (7.9054)]
Epoch: [1][5/439] | Time [0.219s (0.805s)] | Data [0.065s (0.506s)] | Focal Loss [0.0796 (0.3156)] | Dice Loss [0.2418 (0.2620)] | IoU Loss [0.1218 (0.1415)] | Total Loss [1.9559 (6.7155)]
Epoch: [1][6/439] | Time [0.212s (0.706s)] | Data [0.044s (0.429s)] | Focal Loss [0.1603 (0.2897)] | Dice Loss [0.2597 (0.2616)] | IoU Loss [0.0971 (0.1341)] | Total Loss [3.5633 (6.1901)]
Epoch: [1][7/439] | Time [0.277s (0.645s)] | Data [0.101s (0.382s)] | Focal Loss [0.1874 (0.2751)] | Dice Loss [0.2383 (0.2583)] | IoU Loss [0.1129 (0.1311)] | Total Loss [4.0988 (5.8913)]
Epoch: [1][8/439] | Time [0.334s (0.606s)] | Data [0.142s (0.352s)] | Focal Loss [0.4283 (0.2943)] | Dice Loss [0.3326 (0.2676)] | IoU Loss [0.1878 (0.1382)] | Total Loss [9.0866 (6.2908)]
Epoch: [1][9/439] | Time [0.298s (0.572s)] | Data [0.139s (0.328s)] | Focal Loss [0.0826 (0.2707)] | Dice Loss [0.1558 (0.2551)] | IoU Loss [0.0689 (0.1305)] | Total Loss [1.8765 (5.8003)]
Epoch: [1][10/439] | Time [0.201s (0.535s)] | Data [0.044s (0.300s)] | Focal Loss [0.1287 (0.2565)] | Dice Loss [0.2656 (0.2562)] | IoU Loss [0.1164 (0.1290)] | Total Loss [2.9559 (5.5158)]
Epoch: [1][11/439] | Time [0.211s (0.505s)] | Data [0.049s (0.277s)] | Focal Loss [0.1443 (0.2463)] | Dice Loss [0.2162 (0.2526)] | IoU Loss [0.0960 (0.1260)] | Total Loss [3.1979 (5.3051)]
