loading annotations into memory...
Done (t=0.13s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [2.830s (2.830s)] | Data [1.940s (1.940s)] | Focal Loss [1.0097 (1.0097)] | Dice Loss [0.1390 (0.1390)] | IoU Loss [0.0063 (0.0063)] | Total Loss [20.3400 (20.3400)]
Epoch: [1][2/220] | Time [0.376s (1.603s)] | Data [0.147s (1.044s)] | Focal Loss [0.3679 (0.6888)] | Dice Loss [0.0953 (0.1171)] | IoU Loss [0.0035 (0.0049)] | Total Loss [7.4575 (13.8987)]
Epoch: [1][3/220] | Time [0.391s (1.199s)] | Data [0.140s (0.742s)] | Focal Loss [0.3620 (0.5799)] | Dice Loss [0.2077 (0.1473)] | IoU Loss [0.0081 (0.0060)] | Total Loss [7.4567 (11.7514)]
Epoch: [1][4/220] | Time [0.384s (0.995s)] | Data [0.123s (0.588s)] | Focal Loss [0.7170 (0.6142)] | Dice Loss [0.0992 (0.1353)] | IoU Loss [0.0023 (0.0051)] | Total Loss [14.4415 (12.4239)]
Epoch: [1][5/220] | Time [0.443s (0.885s)] | Data [0.229s (0.516s)] | Focal Loss [0.2013 (0.5316)] | Dice Loss [0.1965 (0.1475)] | IoU Loss [0.0100 (0.0061)] | Total Loss [4.2326 (10.7857)]
Epoch: [1][6/220] | Time [0.315s (0.790s)] | Data [0.095s (0.446s)] | Focal Loss [0.4315 (0.5149)] | Dice Loss [0.0825 (0.1367)] | IoU Loss [0.0025 (0.0055)] | Total Loss [8.7149 (10.4405)]
Epoch: [1][7/220] | Time [0.361s (0.728s)] | Data [0.138s (0.402s)] | Focal Loss [0.2980 (0.4839)] | Dice Loss [0.1477 (0.1383)] | IoU Loss [0.0047 (0.0054)] | Total Loss [6.1131 (9.8223)]
Epoch: [1][8/220] | Time [0.396s (0.687s)] | Data [0.147s (0.370s)] | Focal Loss [0.7044 (0.5115)] | Dice Loss [0.1625 (0.1413)] | IoU Loss [0.0090 (0.0058)] | Total Loss [14.2590 (10.3769)]
Epoch: [1][9/220] | Time [0.438s (0.659s)] | Data [0.209s (0.352s)] | Focal Loss [0.4034 (0.4995)] | Dice Loss [0.0898 (0.1356)] | IoU Loss [0.0034 (0.0056)] | Total Loss [8.1616 (10.1308)]
Epoch: [1][10/220] | Time [0.348s (0.628s)] | Data [0.133s (0.330s)] | Focal Loss [0.2787 (0.4774)] | Dice Loss [0.1254 (0.1346)] | IoU Loss [0.0118 (0.0062)] | Total Loss [5.7114 (9.6888)]
Epoch: [1][11/220] | Time [0.350s (0.603s)] | Data [0.113s (0.310s)] | Focal Loss [0.4924 (0.4788)] | Dice Loss [0.1202 (0.1333)] | IoU Loss [0.0054 (0.0061)] | Total Loss [9.9740 (9.7148)]
Epoch: [1][12/220] | Time [0.335s (0.580s)] | Data [0.137s (0.296s)] | Focal Loss [0.1890 (0.4546)] | Dice Loss [0.1987 (0.1387)] | IoU Loss [0.0066 (0.0061)] | Total Loss [3.9856 (9.2373)]
Epoch: [1][13/220] | Time [0.288s (0.558s)] | Data [0.084s (0.280s)] | Focal Loss [0.2474 (0.4387)] | Dice Loss [0.1408 (0.1389)] | IoU Loss [0.0064 (0.0062)] | Total Loss [5.0953 (8.9187)]
Epoch: [1][14/220] | Time [0.343s (0.543s)] | Data [0.119s (0.268s)] | Focal Loss [0.4797 (0.4416)] | Dice Loss [0.1828 (0.1420)] | IoU Loss [0.0060 (0.0062)] | Total Loss [9.7823 (8.9804)]
Epoch: [1][15/220] | Time [0.403s (0.533s)] | Data [0.168s (0.261s)] | Focal Loss [0.3303 (0.4342)] | Dice Loss [0.1263 (0.1410)] | IoU Loss [0.0030 (0.0059)] | Total Loss [6.7354 (8.8307)]
Epoch: [1][16/220] | Time [0.367s (0.523s)] | Data [0.149s (0.254s)] | Focal Loss [0.2510 (0.4227)] | Dice Loss [0.2178 (0.1458)] | IoU Loss [0.0090 (0.0061)] | Total Loss [5.2470 (8.6067)]
Epoch: [1][17/220] | Time [0.357s (0.513s)] | Data [0.121s (0.247s)] | Focal Loss [0.4638 (0.4252)] | Dice Loss [0.1357 (0.1452)] | IoU Loss [0.0037 (0.0060)] | Total Loss [9.4161 (8.6543)]
Epoch: [1][18/220] | Time [0.402s (0.507s)] | Data [0.187s (0.243s)] | Focal Loss [0.2666 (0.4164)] | Dice Loss [0.0853 (0.1418)] | IoU Loss [0.0021 (0.0058)] | Total Loss [5.4190 (8.4746)]
