loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.639s (3.639s)] | Data [1.958s (1.958s)] | Focal Loss [1.0097 (1.0097)] | Dice Loss [0.1390 (0.1390)] | IoU Loss [0.0063 (0.0063)] | Total Loss [20.3400 (20.3400)]
Epoch: [1][2/220] | Time [0.719s (2.179s)] | Data [0.145s (1.052s)] | Focal Loss [0.3679 (0.6888)] | Dice Loss [0.0953 (0.1171)] | IoU Loss [0.0035 (0.0049)] | Total Loss [7.4575 (13.8987)]
Epoch: [1][3/220] | Time [0.644s (1.668s)] | Data [0.099s (0.734s)] | Focal Loss [0.3621 (0.5799)] | Dice Loss [0.2077 (0.1473)] | IoU Loss [0.0081 (0.0060)] | Total Loss [7.4573 (11.7516)]
Epoch: [1][4/220] | Time [0.802s (1.451s)] | Data [0.136s (0.584s)] | Focal Loss [0.7166 (0.6141)] | Dice Loss [0.0992 (0.1353)] | IoU Loss [0.0023 (0.0051)] | Total Loss [14.4325 (12.4218)]
Epoch: [1][5/220] | Time [0.656s (1.292s)] | Data [0.127s (0.493s)] | Focal Loss [0.2007 (0.5314)] | Dice Loss [0.1962 (0.1475)] | IoU Loss [0.0100 (0.0061)] | Total Loss [4.2211 (10.7817)]
Epoch: [1][6/220] | Time [0.657s (1.186s)] | Data [0.087s (0.425s)] | Focal Loss [0.4302 (0.5145)] | Dice Loss [0.0824 (0.1366)] | IoU Loss [0.0025 (0.0055)] | Total Loss [8.6883 (10.4328)]
Epoch: [1][7/220] | Time [0.649s (1.110s)] | Data [0.100s (0.379s)] | Focal Loss [0.2964 (0.4834)] | Dice Loss [0.1473 (0.1382)] | IoU Loss [0.0047 (0.0054)] | Total Loss [6.0793 (9.8109)]
Epoch: [1][8/220] | Time [0.750s (1.065s)] | Data [0.123s (0.347s)] | Focal Loss [0.7005 (0.5105)] | Dice Loss [0.1622 (0.1412)] | IoU Loss [0.0089 (0.0058)] | Total Loss [14.1806 (10.3571)]
Epoch: [1][9/220] | Time [0.703s (1.025s)] | Data [0.129s (0.323s)] | Focal Loss [0.4008 (0.4983)] | Dice Loss [0.0897 (0.1354)] | IoU Loss [0.0034 (0.0055)] | Total Loss [8.1095 (10.1073)]
Epoch: [1][10/220] | Time [0.627s (0.985s)] | Data [0.094s (0.300s)] | Focal Loss [0.2767 (0.4762)] | Dice Loss [0.1252 (0.1344)] | IoU Loss [0.0117 (0.0062)] | Total Loss [5.6707 (9.6637)]
Epoch: [1][11/220] | Time [0.689s (0.958s)] | Data [0.103s (0.282s)] | Focal Loss [0.4867 (0.4771)] | Dice Loss [0.1198 (0.1331)] | IoU Loss [0.0053 (0.0061)] | Total Loss [9.8585 (9.6814)]
Epoch: [1][12/220] | Time [0.616s (0.929s)] | Data [0.097s (0.266s)] | Focal Loss [0.1851 (0.4528)] | Dice Loss [0.1956 (0.1383)] | IoU Loss [0.0064 (0.0061)] | Total Loss [3.9033 (9.1999)]
Epoch: [1][13/220] | Time [0.606s (0.905s)] | Data [0.073s (0.252s)] | Focal Loss [0.2365 (0.4361)] | Dice Loss [0.1391 (0.1384)] | IoU Loss [0.0062 (0.0061)] | Total Loss [4.8746 (8.8672)]
Epoch: [1][14/220] | Time [0.681s (0.889s)] | Data [0.097s (0.241s)] | Focal Loss [0.4616 (0.4380)] | Dice Loss [0.1829 (0.1415)] | IoU Loss [0.0058 (0.0061)] | Total Loss [9.4218 (8.9068)]
Epoch: [1][15/220] | Time [0.704s (0.876s)] | Data [0.116s (0.232s)] | Focal Loss [0.3127 (0.4296)] | Dice Loss [0.1249 (0.1404)] | IoU Loss [0.0029 (0.0059)] | Total Loss [6.3820 (8.7385)]
Epoch: [1][16/220] | Time [0.640s (0.861s)] | Data [0.102s (0.224s)] | Focal Loss [0.2247 (0.4168)] | Dice Loss [0.2122 (0.1449)] | IoU Loss [0.0085 (0.0061)] | Total Loss [4.7147 (8.4870)]
Epoch: [1][17/220] | Time [0.710s (0.853s)] | Data [0.105s (0.217s)] | Focal Loss [0.4142 (0.4166)] | Dice Loss [0.1323 (0.1442)] | IoU Loss [0.0033 (0.0059)] | Total Loss [8.4189 (8.4830)]
Epoch: [1][18/220] | Time [0.691s (0.844s)] | Data [0.121s (0.212s)] | Focal Loss [0.2333 (0.4065)] | Dice Loss [0.0826 (0.1407)] | IoU Loss [0.0018 (0.0057)] | Total Loss [4.7509 (8.2756)]
Epoch: [1][19/220] | Time [0.715s (0.837s)] | Data [0.122s (0.207s)] | Focal Loss [0.4082 (0.4066)] | Dice Loss [0.1584 (0.1417)] | IoU Loss [0.0061 (0.0057)] | Total Loss [8.3277 (8.2784)]
Epoch: [1][20/220] | Time [0.644s (0.827s)] | Data [0.104s (0.202s)] | Focal Loss [0.2371 (0.3981)] | Dice Loss [0.1522 (0.1422)] | IoU Loss [0.0083 (0.0058)] | Total Loss [4.9031 (8.1096)]
Epoch: [1][21/220] | Time [0.730s (0.823s)] | Data [0.114s (0.198s)] | Focal Loss [0.4883 (0.4024)] | Dice Loss [0.0816 (0.1393)] | IoU Loss [0.0012 (0.0056)] | Total Loss [9.8489 (8.1924)]
Epoch: [1][22/220] | Time [0.917s (0.827s)] | Data [0.189s (0.197s)] | Focal Loss [1.1528 (0.4365)] | Dice Loss [0.1335 (0.1391)] | IoU Loss [0.0047 (0.0056)] | Total Loss [23.1952 (8.8744)]
Epoch: [1][23/220] | Time [0.796s (0.825s)] | Data [0.188s (0.197s)] | Focal Loss [0.4135 (0.4355)] | Dice Loss [0.0953 (0.1371)] | IoU Loss [0.0052 (0.0055)] | Total Loss [8.3706 (8.8525)]
Epoch: [1][24/220] | Time [0.643s (0.818s)] | Data [0.107s (0.193s)] | Focal Loss [0.1653 (0.4242)] | Dice Loss [0.1820 (0.1390)] | IoU Loss [0.0049 (0.0055)] | Total Loss [3.4920 (8.6291)]
Epoch: [1][25/220] | Time [0.790s (0.817s)] | Data [0.130s (0.191s)] | Focal Loss [0.5136 (0.4278)] | Dice Loss [0.1138 (0.1380)] | IoU Loss [0.0043 (0.0055)] | Total Loss [10.3903 (8.6996)]
Epoch: [1][26/220] | Time [0.726s (0.813s)] | Data [0.145s (0.189s)] | Focal Loss [0.3381 (0.4244)] | Dice Loss [0.1989 (0.1403)] | IoU Loss [0.0030 (0.0054)] | Total Loss [6.9635 (8.6328)]
Epoch: [1][27/220] | Time [0.798s (0.813s)] | Data [0.144s (0.187s)] | Focal Loss [0.3016 (0.4198)] | Dice Loss [0.0947 (0.1387)] | IoU Loss [0.0027 (0.0053)] | Total Loss [6.1300 (8.5401)]
Epoch: [1][28/220] | Time [0.680s (0.808s)] | Data [0.131s (0.185s)] | Focal Loss [0.1282 (0.4094)] | Dice Loss [0.1252 (0.1382)] | IoU Loss [0.0058 (0.0053)] | Total Loss [2.6950 (8.3313)]
Epoch: [1][29/220] | Time [0.670s (0.803s)] | Data [0.104s (0.182s)] | Focal Loss [0.1529 (0.4005)] | Dice Loss [0.0743 (0.1360)] | IoU Loss [0.0010 (0.0051)] | Total Loss [3.1335 (8.1521)]
Epoch: [1][30/220] | Time [0.730s (0.801s)] | Data [0.125s (0.180s)] | Focal Loss [0.2832 (0.3966)] | Dice Loss [0.1879 (0.1377)] | IoU Loss [0.0038 (0.0051)] | Total Loss [5.8564 (8.0756)]
Epoch: [1][31/220] | Time [0.753s (0.799s)] | Data [0.141s (0.179s)] | Focal Loss [0.2355 (0.3914)] | Dice Loss [0.1729 (0.1388)] | IoU Loss [0.0046 (0.0051)] | Total Loss [4.8865 (7.9727)]
Epoch: [1][32/220] | Time [0.722s (0.797s)] | Data [0.131s (0.178s)] | Focal Loss [0.1695 (0.3845)] | Dice Loss [0.1599 (0.1395)] | IoU Loss [0.0030 (0.0050)] | Total Loss [3.5536 (7.8346)]
Epoch: [1][33/220] | Time [0.797s (0.797s)] | Data [0.146s (0.177s)] | Focal Loss [0.1627 (0.3778)] | Dice Loss [0.1204 (0.1389)] | IoU Loss [0.0024 (0.0049)] | Total Loss [3.3770 (7.6995)]
Epoch: [1][34/220] | Time [0.700s (0.794s)] | Data [0.138s (0.176s)] | Focal Loss [0.1043 (0.3697)] | Dice Loss [0.2191 (0.1413)] | IoU Loss [0.0037 (0.0049)] | Total Loss [2.3092 (7.5410)]
Epoch: [1][35/220] | Time [0.814s (0.795s)] | Data [0.142s (0.175s)] | Focal Loss [0.1527 (0.3635)] | Dice Loss [0.1883 (0.1426)] | IoU Loss [0.0065 (0.0049)] | Total Loss [3.2480 (7.4183)]
Epoch: [1][36/220] | Time [0.836s (0.796s)] | Data [0.180s (0.175s)] | Focal Loss [0.1217 (0.3568)] | Dice Loss [0.1300 (0.1423)] | IoU Loss [0.0037 (0.0049)] | Total Loss [2.5677 (7.2836)]
Epoch: [1][37/220] | Time [0.668s (0.792s)] | Data [0.128s (0.173s)] | Focal Loss [0.0578 (0.3487)] | Dice Loss [0.2800 (0.1460)] | IoU Loss [0.0074 (0.0050)] | Total Loss [1.4430 (7.1257)]
Epoch: [1][38/220] | Time [0.738s (0.791s)] | Data [0.117s (0.172s)] | Focal Loss [0.0999 (0.3422)] | Dice Loss [0.2544 (0.1488)] | IoU Loss [0.0029 (0.0049)] | Total Loss [2.2560 (6.9976)]
Epoch: [1][39/220] | Time [0.779s (0.790s)] | Data [0.152s (0.171s)] | Focal Loss [0.0998 (0.3360)] | Dice Loss [0.1495 (0.1489)] | IoU Loss [0.0027 (0.0049)] | Total Loss [2.1485 (6.8733)]
Epoch: [1][40/220] | Time [0.731s (0.789s)] | Data [0.138s (0.171s)] | Focal Loss [0.1320 (0.3309)] | Dice Loss [0.1892 (0.1499)] | IoU Loss [0.0042 (0.0049)] | Total Loss [2.8342 (6.7723)]
Epoch: [1][41/220] | Time [0.721s (0.787s)] | Data [0.124s (0.170s)] | Focal Loss [0.0921 (0.3251)] | Dice Loss [0.2696 (0.1528)] | IoU Loss [0.0029 (0.0048)] | Total Loss [2.1148 (6.6587)]
Epoch: [1][42/220] | Time [0.678s (0.785s)] | Data [0.120s (0.168s)] | Focal Loss [0.0530 (0.3186)] | Dice Loss [0.1546 (0.1528)] | IoU Loss [0.0037 (0.0048)] | Total Loss [1.2189 (6.5292)]
Epoch: [1][43/220] | Time [0.666s (0.782s)] | Data [0.102s (0.167s)] | Focal Loss [0.0491 (0.3123)] | Dice Loss [0.2436 (0.1549)] | IoU Loss [0.0066 (0.0048)] | Total Loss [1.2311 (6.4060)]
Epoch: [1][44/220] | Time [0.782s (0.782s)] | Data [0.135s (0.166s)] | Focal Loss [0.0936 (0.3073)] | Dice Loss [0.2609 (0.1574)] | IoU Loss [0.0073 (0.0049)] | Total Loss [2.1405 (6.3090)]
