loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
Epoch: [1][1/220] | Time [3.813s (3.813s)] | Data [2.114s (2.114s)] | Focal Loss [1.0097 (1.0097)] | Dice Loss [0.1390 (0.1390)] | IoU Loss [0.0063 (0.0063)] | Total Loss [20.3400 (20.3400)]
Epoch: [1][2/220] | Time [0.720s (2.267s)] | Data [0.149s (1.132s)] | Focal Loss [0.3679 (0.6888)] | Dice Loss [0.0953 (0.1171)] | IoU Loss [0.0035 (0.0049)] | Total Loss [7.4575 (13.8987)]
Epoch: [1][3/220] | Time [0.638s (1.724s)] | Data [0.099s (0.787s)] | Focal Loss [0.3619 (0.5798)] | Dice Loss [0.2077 (0.1473)] | IoU Loss [0.0081 (0.0060)] | Total Loss [7.4535 (11.7503)]
Epoch: [1][4/220] | Time [0.800s (1.493s)] | Data [0.138s (0.625s)] | Focal Loss [0.7161 (0.6139)] | Dice Loss [0.0992 (0.1353)] | IoU Loss [0.0023 (0.0051)] | Total Loss [14.4242 (12.4188)]
Epoch: [1][5/220] | Time [0.651s (1.324s)] | Data [0.129s (0.526s)] | Focal Loss [0.2007 (0.5313)] | Dice Loss [0.1961 (0.1475)] | IoU Loss [0.0100 (0.0061)] | Total Loss [4.2198 (10.7790)]
Epoch: [1][6/220] | Time [0.655s (1.213s)] | Data [0.088s (0.453s)] | Focal Loss [0.4300 (0.5144)] | Dice Loss [0.0824 (0.1366)] | IoU Loss [0.0025 (0.0055)] | Total Loss [8.6857 (10.4301)]
Epoch: [1][7/220] | Time [0.646s (1.132s)] | Data [0.098s (0.402s)] | Focal Loss [0.2961 (0.4832)] | Dice Loss [0.1473 (0.1381)] | IoU Loss [0.0047 (0.0054)] | Total Loss [6.0750 (9.8079)]
Epoch: [1][8/220] | Time [0.749s (1.084s)] | Data [0.123s (0.367s)] | Focal Loss [0.7005 (0.5104)] | Dice Loss [0.1622 (0.1411)] | IoU Loss [0.0089 (0.0058)] | Total Loss [14.1804 (10.3545)]
Epoch: [1][9/220] | Time [0.699s (1.041s)] | Data [0.128s (0.341s)] | Focal Loss [0.4008 (0.4982)] | Dice Loss [0.0897 (0.1354)] | IoU Loss [0.0034 (0.0055)] | Total Loss [8.1088 (10.1050)]
Epoch: [1][10/220] | Time [0.626s (0.999s)] | Data [0.095s (0.316s)] | Focal Loss [0.2767 (0.4760)] | Dice Loss [0.1252 (0.1344)] | IoU Loss [0.0117 (0.0062)] | Total Loss [5.6703 (9.6615)]
Epoch: [1][11/220] | Time [0.684s (0.971s)] | Data [0.103s (0.297s)] | Focal Loss [0.4868 (0.4770)] | Dice Loss [0.1198 (0.1331)] | IoU Loss [0.0053 (0.0061)] | Total Loss [9.8611 (9.6797)]
Epoch: [1][12/220] | Time [0.613s (0.941s)] | Data [0.098s (0.280s)] | Focal Loss [0.1849 (0.4527)] | Dice Loss [0.1956 (0.1383)] | IoU Loss [0.0064 (0.0061)] | Total Loss [3.9008 (9.1981)]
Epoch: [1][13/220] | Time [0.602s (0.915s)] | Data [0.073s (0.264s)] | Focal Loss [0.2364 (0.4361)] | Dice Loss [0.1390 (0.1383)] | IoU Loss [0.0062 (0.0061)] | Total Loss [4.8742 (8.8655)]
